Packet No,App TimeStamp,Sensor TimeStamp,Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),ref (uV),AccX(mg),AccY(mg),AccZ(mg),Event A,Event B
1724,1722491733556299,844852041,906,3139,4413,30706,0,0,0,0,0,0,0,0,0,0,0,-574,0,0,0,0,0
,4390,-9,-1759,-5136,-8763,-32602,,,,,,,,,,,,-10,,,,,
,-3801,9,-423,-1370,-2183,-21968,,,,,,,,,,,,-3,,,,,
,-1302,-13,-21,-90,589,-22075,,,,,,,,,,,,-7,,,,,
,79,,426,1184,2181,3474,,,,,,,,,,,,12,,,,,
,1526,2,1781,5219,7972,61278,,,,,,,,,,,,-2,,,,,
,-1073,-1,478,1506,1874,26923,,,,,,,,,,,,3,,,,,
,-345,1,40,42,93,-3439,,,,,,,,,,,,-10,,,,,
,492,-21,-478,-1335,-1457,-28741,,,,,,,,,,,,8,,,,,
,97,1,-1845,-5243,-8277,-46069,,,,,,,,,,,,-8,,,,,
,-89,1,-442,-1405,-2718,2025,,,,,,,,,,,,1,,,,,
,179,-12,43,77,-368,10607,,,,,,,,,,,,10,,,,,
,1615,-1,474,1286,2184,4187,,,,,,,,,,,,-14,,,,,
,-646,-16,1763,5115,9001,21071,,,,,,,,,,,,-1,,,,,
,-1100,2,420,1406,2355,11538,,,,,,,,,,,,-1,,,,,
,-252,14,-2,18,-412,20478,,,,,,,,,,,,7,,,,,
,188,-14,-415,-1235,-2478,3464,,,,,,,,,,,,1,,,,,
,501,13,-1774,-5286,-8562,-46180,,,,,,,,,,,,6,,,,,
,-1030,-31,-456,-986,-757,-30671,,,,,,,,,,,,-4,,,,,
,279,2,-38,-583,-868,-14938,,,,,,,,,,,,-1,,,,,
,292,,438,1419,2014,28006,,,,,,,,,,,,3,,,,,
,1457,10,1830,5284,8040,51126,,,,,,,,,,,,5,,,,,
,-1579,-11,456,1490,2283,13468,,,,,,,,,,,,1,,,,,
,-215,-5,-9,-105,553,-19954,,,,,,,,,,,,-1,,,,,
,-123,-16,-490,-1293,-1825,-14407,,,,,,,,,,,,-5,,,,,
,-220,2,-1802,-5214,-8833,-21651,,,,,,,,,,,,2,,,,,
,234,19,-410,-1333,-2673,-4206,,,,,,,,,,,,,,,,,
,121,-19,20,67,35,-2007,,,,,,,,,,,,1,,,,,
,102,-13,444,1141,2653,-11448,,,,,,,,,,,,4,,,,,
,1999,13,1773,5179,8646,30881,,,,,,,,,,,,-10,,,,,
,-1745,-10,435,1441,1808,32202,,,,,,,,,,,,-1,,,,,
