Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Fz (uV),P4 (uV),O1 (uV),O2 (uV),Ref (uV),AccX (mg),AccY (mg),AccZ (mg),Event A,Event B
6297.00,4242758056.40,1430195230.00,21.55,69.42,89.56,234.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.10,0.00,0.00,0.00,0.00,0.00
,-294,-26,439,1385,2497,669,,,,,,,,,,,,-4,,,,,
,-624,6,-27,-99,262,-3452,,,,,,,,,,,,3,,,,,
,1161,-13,-473,-1273,-2185,-586,,,,,,,,,,,,15,,,,,
,-1584,3,-1766,-5200,-8741,-12158,,,,,,,,,,,,-11,,,,,
,0,11,-412,-1292,-2384,-3500,,,,,,,,,,,,3,,,,,
,741,,-21,-11,325,-3813,,,,,,,,,,,,3,,,,,
,-806,,419,1147,2372,251,,,,,,,,,,,,-6,,,,,
,428,-11,1781,5180,8265,18344,,,,,,,,,,,,-3,,,,,
,-307,-22,475,1450,1901,7695,,,,,,,,,,,,1,,,,,
,-40,2,47,131,-121,999,,,,,,,,,,,,-1,,,,,
,-37,16,-469,-1277,-1707,-7377,,,,,,,,,,,,-7,,,,,
,106,-18,-1850,-5343,-8178,-18672,,,,,,,,,,,,4,,,,,
,630,-1,-465,-1434,-2459,-1587,,,,,,,,,,,,1,,,,,
,3140,18,46,54,-307,3163,,,,,,,,,,,,3,,,,,
,-1756,-18,493,1364,2037,4520,,,,,,,,,,,,9,,,,,
,-1140,17,1772,5185,8725,11431,,,,,,,,,,,,-7,,,,,
,-860,-17,413,1055,1970,348,,,,,,,,,,,,7,,,,,
,1706,-5,-34,666,1124,5468,,,,,,,,,,,,-1,,,,,
,-1843,16,-419,-1784,-3437,-2143,,,,,,,,,,,,-6,,,,,
,852,-28,-1769,-5001,-8293,-14303,,,,,,,,,,,,2,,,,,
,-731,13,-441,-1354,-1789,-8198,,,,,,,,,,,,-7,,,,,
,-107,,-25,-172,103,-3410,,,,,,,,,,,,-1,,,,,
,-110,-8,421,1206,1930,6742,,,,,,,,,,,,1,,,,,
,846,13,1831,5296,8158,18639,,,,,,,,,,,,12,,,,,
,-21,-28,498,1523,2104,5251,,,,,,,,,,,,-4,,,,,
,-384,2,-20,-12,379,-4020,,,,,,,,,,,,5,,,,,
,-168,14,-496,-1353,-1794,-6449,,,,,,,,,,,,-11,,,,,
,-229,-16,-1795,-5238,-8631,-12276,,,,,,,,,,,,-3,,,,,
,203,17,-409,-1345,-2560,-1375,,,,,,,,,,,,6,,,,,
,-76,-20,32,92,-79,666,,,,,,,,,,,,-2,,,,,
,284,1,429,1192,2419,-655,,,,,,,,,,,,6,,,,,
,-348,,1752,5122,8643,12578,,,,,,,,,,,,15,,,,,
,49,,426,1385,2005,7751,,,,,,,,,,,,-14,,,,,
,1644,-1,39,72,-290,3064,,,,,,,,,,,,,,,,,
,-1217,-1,-427,-1142,-2088,-2786,,,,,,,,,,,,7,,,,,
,2410,-31,-1812,-5279,-8096,-19637,,,,,,,,,,,,-7,,,,,
,-2083,,-472,-1504,-2074,-7330,,,,,,,,,,,,-15,,,,,
,-775,32,-16,-57,-291,3058,,,,,,,,,,,,9,,,,,
,-199,-26,478,1504,2222,7477,,,,,,,,,,,,13,,,,,
,4,-15,1843,5049,7886,14956,,,,,,,,,,,,-4,,,,,
,366,-2,435,1487,2750,584,,,,,,,,,,,,-19,,,,,
,45,17,-42,-110,183,-2586,,,,,,,,,,,,-1,,,,,
,-319,,-479,-1558,-2796,-1249,,,,,,,,,,,,7,,,,,
,149,-12,-1762,-4311,-7110,-9284,,,,,,,,,,,,-3,,,,,
