Packet Number (n), App Timestamp (us),Sensor Timestamp (us),1 (uV),2 (uV),3 (uV),4 (uV),5 (uV),6 (uV),7 (uV),8 (uV),9 (uV),10 (uV),11 (uV),12 (uV),13 (uV),14 (uV),15 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
5370,21891397,724274000,31.71465,101.5584,138.10065,318.3534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0524,0,0,0,0,0
,-48,-1,-19,-143,617,-6696,,,,,,,,,,,,2,,,,,
,1805,-20,-497,-1328,-1938,-3600,,,,,,,,,,,,1,,,,,
,-1564,1,-1796,-5195,-8865,-9952,,,,,,,,,,,,-6,,,,,
,-388,-11,-393,-1465,-3069,-2164,,,,,,,,,,,,6,,,,,
,78,-2,17,647,1237,538,,,,,,,,,,,,4,,,,,
,-481,12,427,605,1760,-4874,,,,,,,,,,,,3,,,,,
,-119,-11,1748,5214,8687,15172,,,,,,,,,,,,3,,,,,
,1335,-22,435,1444,1838,10020,,,,,,,,,,,,-11,,,,,
,-679,24,54,165,-358,3283,,,,,,,,,,,,-9,,,,,
,52,-22,-437,-1194,-1971,-4853,,,,,,,,,,,,-6,,,,,
,-718,-13,-1818,-5357,-7824,-22106,,,,,,,,,,,,-5,,,,,
,75,14,-476,-1457,-2095,-5194,,,,,,,,,,,,2,,,,,
,-4,-11,5,-1,-463,5322,,,,,,,,,,,,23,,,,,
,102,9,478,1347,1688,6778,,,,,,,,,,,,-4,,,,,
,99,-11,1817,5320,8539,14290,,,,,,,,,,,,-4,,,,,
,292,2,430,1295,2827,-2085,,,,,,,,,,,,3,,,,,
,-154,-23,-42,-115,97,-1095,,,,,,,,,,,,-4,,,,,
,-237,2,-453,-1221,-2429,1978,,,,,,,,,,,,8,,,,,
,200,1,-1745,-5113,-8838,-12008,,,,,,,,,,,,-9,,,,,
,1526,-10,-418,-1296,-2208,-5520,,,,,,,,,,,,3,,,,,
,-1300,-1,-22,-150,587,-6628,,,,,,,,,,,,4,,,,,
,-707,10,416,1147,2291,2241,,,,,,,,,,,,14,,,,,
,391,-10,1781,5230,8009,20705,,,,,,,,,,,,2,,,,,
,-255,11,483,1545,1816,7933,,,,,,,,,,,,-11,,,,,
,700,-11,18,97,32,-774,,,,,,,,,,,,,,,,,
,-600,-1,-474,-1377,-1473,-10001,,,,,,,,,,,,-2,,,,,
,81,2,-1827,-5309,-8214,-16913,,,,,,,,,,,,-6,,,,,
,2315,-21,-438,-1408,-2668,728,,,,,,,,,,,,6,,,,,
,-2087,1,19,99,-455,3482,,,,,,,,,,,,-5,,,,,
,612,-11,487,1111,1707,2077,,,,,,,,,,,,-5,,,,,
,-1173,-1,1768,5775,10283,11558,,,,,,,,,,,,4,,,,,
,431,,391,693,1207,133,,,,,,,,,,,,1,,,,,
,72,,10,204,-21,5975,,,,,,,,,,,,-2,,,,,
,1553,-1,-414,-1151,-2451,177,,,,,,,,,,,,5,,,,,
,-1974,-16,-1765,-5111,-8400,-15814,,,,,,,,,,,,-1,,,,,
,214,-3,-471,-1540,-1732,-10956,,,,,,,,,,,,-5,,,,,
,533,-11,-42,-97,277,-2122,,,,,,,,,,,,-8,,,,,
,-415,11,457,1243,1704,8666,,,,,,,,,,,,2,,,,,
,695,,1826,5345,8013,19159,,,,,,,,,,,,7,,,,,
,-731,1,479,1506,2158,4137,,,,,,,,,,,,5,,,,,
,97,,-17,-95,570,-6215,,,,,,,,,,,,,,,,,
,145,-12,-493,-1354,-1769,-5895,,,,,,,,,,,,-3,,,,,
,-182,-20,-1803,-5225,-8788,-10278,,,,,,,,,,,,-2,,,,,
,131,21,-416,-1324,-2700,-757,,,,,,,,,,,,,,,,,
,691,-18,22,114,-45,-75,,,,,,,,,,,,8,,,,,
,-18,-3,442,1132,2614,-2663,,,,,,,,,,,,-5,,,,,
,-581,1,1758,5125,8768,12624,,,,,,,,,,,,-4,,,,,
,296,-11,444,1435,1860,9527,,,,,,,,,,,,4,,,,,
,478,,26,83,-469,3887,,,,,,,,,,,,-2,,,,,
,209,1,-425,-1138,-2092,-3311,,,,,,,,,,,,-8,,,,,
,-439,-7,-1815,-5315,-7854,-21419,,,,,,,,,,,,7,,,,,
,-51,13,-473,-1517,-1959,-7634,,,,,,,,,,,,-6,,,,,
,699,-17,-5,-17,-362,4909,,,,,,,,,,,,2,,,,,
,-698,-2,480,1331,1641,7472,,,,,,,,,,,,-6,,,,,
,-504,-9,1830,5320,8273,15665,,,,,,,,,,,,14,,,,,
,387,9,429,1230,2557,-2094,,,,,,,,,,,,-12,,,,,
,-322,,-33,406,1345,-1145,,,,,,,,,,,,1,,,,,
,-2,-18,-474,-1816,-3466,-800,,,,,,,,,,,,4,,,,,
,461,19,-1756,-4972,-8529,-10683,,,,,,,,,,,,6,,,,,
,-1084,-18,-417,-1275,-2346,-4040,,,,,,,,,,,,5,,,,,
,228,,-17,-82,543,-5878,,,,,,,,,,,,-3,,,,,
,20,,408,1117,2421,-2,,,,,,,,,,,,-8,,,,,
,47,-1,1776,5251,8147,20208,,,,,,,,,,,,-7,,,,,
,1018,,478,1467,1718,8507,,,,,,,,,,,,12,,,,,
,-202,-1,44,138,-105,652,,,,,,,,,,,,8,,,,,
,-117,1,-477,-1353,-1536,-9204,,,,,,,,,,,,1,,,,,
,-645,-45,-1821,-5350,-8015,-19135,,,,,,,,,,,,-4,,,,,
,-185,7,-458,-1403,-2592,2,,,,,,,,,,,,-2,,,,,
,2673,-7,28,93,-469,4256,,,,,,,,,,,,1,,,,,
,-2731,10,476,1339,1944,4184,,,,,,,,,,,,3,,,,,
,92,-11,1790,5153,8965,9860,,,,,,,,,,,,2,,,,,
,166,3,413,1299,2573,479,,,,,,,,,,,,-8,,,,,
,546,-14,-9,26,-272,4521,,,,,,,,,,,,-5,,,,,
,-892,1,-436,-1202,-2504,772,,,,,,,,,,,,,,,,,
,35,11,-1761,-5100,-8537,-14527,,,,,,,,,,,,-2,,,,,
,350,-10,-455,-1476,-1812,-9960,,,,,,,,,,,,2,,,,,
,-62,,-33,-126,407,-4153,,,,,,,,,,,,11,,,,,
,-147,-14,429,1220,1802,7777,,,,,,,,,,,,9,,,,,
,-399,-7,1822,5284,7961,19698,,,,,,,,,,,,-5,,,,,
,910,21,482,1583,2075,5527,,,,,,,,,,,,-11,,,,,
,139,-26,3,-285,65,-6064,,,,,,,,,,,,-3,,,,,
,-632,6,-489,-756,-465,-5541,,,,,,,,,,,,8,,,,,
,553,1,-1802,-5788,-9675,-13127,,,,,,,,,,,,,,,,,
,-587,-13,-421,-1228,-2526,129,,,,,,,,,,,,-2,,,,,
,1159,1,34,170,-117,1252,,,,,,,,,,,,2,,,,,
,-1657,-25,443,1165,2520,-1565,,,,,,,,,,,,1,,,,,
,535,4,1763,5104,8883,10839,,,,,,,,,,,,-10,,,,,
,-18,-11,425,1397,1939,8356,,,,,,,,,,,,-2,,,,,
,-220,2,12,58,-442,4556,,,,,,,,,,,,2,,,,,
,3152,9,-433,-1107,-2212,-2116,,,,,,,,,,,,2,,,,,
,-2975,,-1773,-5292,-7990,-20319,,,,,,,,,,,,-2,,,,,
,30,-13,-489,-1507,-1783,-9377,,,,,,,,,,,,2,,,,,
,-299,12,-28,-10,-255,3738,,,,,,,,,,,,6,,,,,
,899,-12,488,1259,1579,8053,,,,,,,,,,,,6,,,,,
,-166,-13,1836,5399,8246,16835,,,,,,,,,,,,2,,,,,
,-705,15,430,1384,2657,-217,,,,,,,,,,,,-15,,,,,
,718,-18,-32,-138,483,-5003,,,,,,,,,,,,4,,,,,
,-385,1,-485,-1292,-2273,44,,,,,,,,,,,,8,,,,,
,-379,-3,-1762,-5185,-8894,-10667,,,,,,,,,,,,,,,,,
,-21,3,-392,-1268,-2498,-3055,,,,,,,,,,,,-9,,,,,
,511,-2,-9,12,460,-4420,,,,,,,,,,,,5,,,,,
,-389,-8,414,1072,2522,-1777,,,,,,,,,,,,-5,,,,,
,493,-10,1777,5193,8217,18737,,,,,,,,,,,,-8,,,,,
,-319,16,457,1482,1775,9277,,,,,,,,,,,,5,,,,,
,-165,-25,26,151,-249,1603,,,,,,,,,,,,-2,,,,,
,278,8,-436,-1300,-1669,-7860,,,,,,,,,,,,1,,,,,
,418,,-1819,-5541,-8212,-21415,,,,,,,,,,,,2,,,,,
,-395,,-483,-804,-1309,1034,,,,,,,,,,,,5,,,,,
,-32,1,22,-581,-1646,2382,,,,,,,,,,,,-2,,,,,
,50,-1,483,1548,2195,5983,,,,,,,,,,,,-2,,,,,
,-364,-42,1808,5218,8838,11273,,,,,,,,,,,,12,,,,,
,491,6,419,1282,2721,-1060,,,,,,,,,,,,-10,,,,,
,-368,11,-26,-21,-173,2898,,,,,,,,,,,,-5,,,,,
,193,-14,-441,-1207,-2503,1505,,,,,,,,,,,,7,,,,,
,454,-2,-1757,-5087,-8695,-13534,,,,,,,,,,,,12,,,,,
,-622,-1,-433,-1389,-1880,-8383,,,,,,,,,,,,-7,,,,,
,3124,5,-45,-169,490,-5823,,,,,,,,,,,,-5,,,,,
,110,-4,422,1201,1975,6225,,,,,,,,,,,,-5,,,,,
,-2137,-12,1808,5273,7962,20358,,,,,,,,,,,,-4,,,,,
,-913,-8,496,1565,1926,6482,,,,,,,,,,,,7,,,,,
,-238,-11,-3,-14,330,-3713,,,,,,,,,,,,4,,,,,
,101,18,-489,-1392,-1488,-9309,,,,,,,,,,,,5,,,,,
,-238,-16,-1828,-5252,-8527,-12975,,,,,,,,,,,,1,,,,,
,17,-17,-430,-1370,-2759,494,,,,,,,,,,,,,,,,,
,174,,39,144,-293,2128,,,,,,,,,,,,-14,,,,,
,222,13,457,1206,2389,-81,,,,,,,,,,,,4,,,,,
,276,3,1757,5103,9026,9469,,,,,,,,,,,,,,,,,
,-265,-3,436,1407,2085,6674,,,,,,,,,,,,-1,,,,,
,96,-31,25,27,-462,5041,,,,,,,,,,,,-9,,,,,
,-406,,-426,-1110,-2339,-1144,,,,,,,,,,,,7,,,,,
,-103,20,-1794,-5235,-8126,-18752,,,,,,,,,,,,,,,,,
,379,-7,-469,-1595,-1796,-10817,,,,,,,,,,,,-1,,,,,
,395,-8,-29,-72,-177,1621,,,,,,,,,,,,9,,,,,
,-645,-6,459,1676,2464,10499,,,,,,,,,,,,-5,,,,,
,2173,,1836,4878,7127,15749,,,,,,,,,,,,-5,,,,,
,-1442,17,465,1582,2783,1974,,,,,,,,,,,,3,,,,,
,-471,-9,-24,-116,617,-6213,,,,,,,,,,,,-11,,,,,
,244,-23,-504,-1298,-2114,-1785,,,,,,,,,,,,-2,,,,,
,13,11,-1780,-5193,-8885,-10157,,,,,,,,,,,,4,,,,,
,-219,-13,-403,-1241,-2569,-2003,,,,,,,,,,,,21,,,,,
,53,14,9,-5,227,-3055,,,,,,,,,,,,-1,,,,,
,585,9,429,1054,2624,-2908,,,,,,,,,,,,-10,,,,,
,35,-5,1754,5235,8503,17061,,,,,,,,,,,,14,,,,,
,-169,-32,461,1433,1689,9652,,,,,,,,,,,,,,,,,
,-464,27,27,119,-337,2478,,,,,,,,,,,,-11,,,,,
,2632,-25,-453,-1209,-1791,-6126,,,,,,,,,,,,5,,,,,
,-2928,2,-1814,-5385,-7844,-21859,,,,,,,,,,,,7,,,,,
,1273,-1,-460,-1448,-2266,-3263,,,,,,,,,,,,-14,,,,,
,-1034,1,18,30,-471,5227,,,,,,,,,,,,-8,,,,,
,-461,-2,471,1367,1762,6161,,,,,,,,,,,,3,,,,,
,909,1,1810,5251,8638,12797,,,,,,,,,,,,5,,,,,
,-925,,427,1302,2820,-1843,,,,,,,,,,,,7,,,,,
,1435,-35,-27,-63,-47,839,,,,,,,,,,,,-5,,,,,
,-1133,7,-460,-1239,-2478,1843,,,,,,,,,,,,-8,,,,,
,643,,-1757,-5096,-8757,-12631,,,,,,,,,,,,3,,,,,
,-18,-7,-423,-1340,-2068,-6904,,,,,,,,,,,,6,,,,,
,-560,7,-23,-148,555,-6508,,,,,,,,,,,,-1,,,,,
,53,-16,423,971,1740,3429,,,,,,,,,,,,-7,,,,,
,223,9,1795,5887,9208,23202,,,,,,,,,,,,-1,,,,,
,1721,4,495,899,635,4785,,,,,,,,,,,,-4,,,,,
,699,-31,-8,229,525,-1372,,,,,,,,,,,,7,,,,,
,-3429,-4,-485,-1340,-1385,-9838,,,,,,,,,,,,-7,,,,,
,57,4,-1827,-5308,-8403,-15210,,,,,,,,,,,,5,,,,,
,-4,18,-426,-1367,-2717,920,,,,,,,,,,,,2,,,,,
,308,-18,41,118,-370,2907,,,,,,,,,,,,,,,,,
,-339,-1,469,1277,2249,1518,,,,,,,,,,,,8,,,,,
,764,1,1766,5097,9038,8870,,,,,,,,,,,,,,,,,
,-590,3,407,1375,2278,4588,,,,,,,,,,,,-6,,,,,
,236,-17,6,30,-403,5415,,,,,,,,,,,,10,,,,,
,604,,-427,-1116,-2410,-480,,,,,,,,,,,,-3,,,,,
,-359,1,-1769,-5204,-8341,-17155,,,,,,,,,,,,-12,,,,,
,-394,-14,-463,-1548,-1654,-11135,,,,,,,,,,,,-9,,,,,
,186,-8,-29,-53,102,-178,,,,,,,,,,,,9,,,,,
,-193,4,457,1234,1622,8848,,,,,,,,,,,,3,,,,,
,310,,1838,5339,8051,18450,,,,,,,,,,,,2,,,,,
,244,-14,460,1511,2362,3072,,,,,,,,,,,,-1,,,,,
,18,2,-32,-157,567,-6631,,,,,,,,,,,,7,,,,,
,213,-5,-488,-1289,-1881,-3899,,,,,,,,,,,,10,,,,,
,-561,5,-1793,-5224,-8883,-10015,,,,,,,,,,,,-4,,,,,
,3534,,-410,-1280,-2657,-1386,,,,,,,,,,,,-9,,,,,
,3906,-2,28,70,93,-1308,,,,,,,,,,,,-7,,,,,
,-3610,2,418,1068,2636,-3195,,,,,,,,,,,,-2,,,,,
,-3341,-32,1756,5168,8595,14657,,,,,,,,,,,,13,,,,,
,-741,1,466,1257,1435,9127,,,,,,,,,,,,-1,,,,,
,419,9,45,732,783,5688,,,,,,,,,,,,-5,,,,,
,98,-10,-463,-1803,-3149,-6992,,,,,,,,,,,,1,,,,,
,1134,1,-1802,-5167,-7488,-21262,,,,,,,,,,,,-4,,,,,
,-1145,-16,-491,-1474,-2083,-5571,,,,,,,,,,,,5,,,,,
,2152,-4,,27,-411,5379,,,,,,,,,,,,3,,,,,
,-1525,2,493,1335,1679,6854,,,,,,,,,,,,-4,,,,,
,-828,,1818,5306,8495,14549,,,,,,,,,,,,-6,,,,,
,-261,3,434,1295,2808,-2097,,,,,,,,,,,,-4,,,,,
,1560,-4,-47,-84,165,-1421,,,,,,,,,,,,6,,,,,
,-531,-10,-460,-1225,-2441,1888,,,,,,,,,,,,-2,,,,,
,5382,18,-1760,-5137,-8861,-11992,,,,,,,,,,,,-5,,,,,
,-3901,-9,-402,-1306,-2200,-5205,,,,,,,,,,,,10,,,,,
,5663,-6,-20,-105,596,-6473,,,,,,,,,,,,1,,,,,
,-3812,-3,407,1154,2298,1910,,,,,,,,,,,,1,,,,,
,-3846,,1784,5228,8033,20686,,,,,,,,,,,,-6,,,,,
,-387,-20,481,1503,1758,7860,,,,,,,,,,,,-9,,,,,
,921,-1,26,98,17,-553,,,,,,,,,,,,2,,,,,
,-1179,13,-468,-1353,-1437,-9805,,,,,,,,,,,,4,,,,,
,-75,-25,-1826,-5318,-8205,-17292,,,,,,,,,,,,17,,,,,
,6407,,-454,-1383,-2642,699,,,,,,,,,,,,2,,,,,
,1911,-9,34,68,-457,3501,,,,,,,,,,,,-7,,,,,
,-3764,15,481,1347,2084,3191,,,,,,,,,,,,2,,,,,
,-3943,-6,1762,5101,8987,9031,,,,,,,,,,,,-1,,,,,
,710,-1,415,1341,2492,2296,,,,,,,,,,,,-6,,,,,
,2388,-12,15,-196,-726,4461,,,,,,,,,,,,-5,,,,,
,-3638,-19,-432,-628,-1469,2160,,,,,,,,,,,,-9,,,,,
,8867,13,-1776,-5550,-9253,-17139,,,,,,,,,,,,3,,,,,
,260,-11,-454,-1453,-1642,-10680,,,,,,,,,,,,8,,,,,
,-3921,,-36,-39,359,-2181,,,,,,,,,,,,,,,,,
,-3864,,439,1235,1717,8541,,,,,,,,,,,,-5,,,,,
,-892,8,1857,5304,7996,19037,,,,,,,,,,,,6,,,,,
,1348,-30,455,1544,2188,4499,,,,,,,,,,,,-1,,,,,
,1583,38,-28,-116,567,-6065,,,,,,,,,,,,,,,,,
,-513,-38,-494,-1356,-1765,-6176,,,,,,,,,,,,-2,,,,,
,-2438,-9,-1792,-5218,-8770,-10375,,,,,,,,,,,,-3,,,,,
,-59,-4,-426,-1307,-2710,-721,,,,,,,,,,,,2,,,,,
,1101,17,44,100,-88,29,,,,,,,,,,,,7,,,,,
,-249,-4,435,1127,2643,-2433,,,,,,,,,,,,4,,,,,
,1783,4,1748,5112,8749,12351,,,,,,,,,,,,-4,,,,,
,-222,-27,427,1441,1871,9412,,,,,,,,,,,,-7,,,,,
,-1316,-8,41,93,-430,3922,,,,,,,,,,,,-2,,,,,
,4645,-4,-415,-1143,-2132,-3198,,,,,,,,,,,,9,,,,,
,-3677,25,-1806,-5315,-7885,-21257,,,,,,,,,,,,1,,,,,
,8189,3,-474,-1499,-1946,-7778,,,,,,,,,,,,,,,,,
,-3788,-34,-13,-5,-334,4772,,,,,,,,,,,,-3,,,,,
,-3961,10,481,1303,1649,7471,,,,,,,,,,,,6,,,,,
,92,13,1816,5353,8371,15850,,,,,,,,,,,,2,,,,,
,10743,-36,441,1307,2684,-1321,,,,,,,,,,,,-8,,,,,
,-3288,15,-50,-87,385,-3388,,,,,,,,,,,,5,,,,,
,-3771,-16,-476,-1245,-2356,1200,,,,,,,,,,,,-5,,,,,
,-3625,-4,-1759,-5176,-8900,-11386,,,,,,,,,,,,-4,,,,,
,-2517,34,-407,-1416,-2664,-4516,,,,,,,,,,,,5,,,,,
,685,-30,2,290,1206,-4278,,,,,,,,,,,,3,,,,,
,-1363,-36,419,925,2136,-746,,,,,,,,,,,,4,,,,,
,204,-2,1780,5099,7849,19285,,,,,,,,,,,,-10,,,,,
,99,10,475,1578,1942,9024,,,,,,,,,,,,-12,,,,,
,1574,24,29,121,-130,710,,,,,,,,,,,,12,,,,,
,7682,-35,-474,-1317,-1523,-8817,,,,,,,,,,,,5,,,,,
,-2989,-19,-1836,-5342,-8028,-19472,,,,,,,,,,,,-12,,,,,
,-3931,22,-444,-1399,-2569,-120,,,,,,,,,,,,4,,,,,
,3603,-11,18,19,-522,4129,,,,,,,,,,,,5,,,,,
,-3820,-12,487,1450,2047,4620,,,,,,,,,,,,6,,,,,
,-747,5,1793,5106,8841,10033,,,,,,,,,,,,-3,,,,,
,-1541,-2,403,1361,2766,322,,,,,,,,,,,,-4,,,,,
,4275,-13,-10,-103,-467,3927,,,,,,,,,,,,9,,,,,
,-2281,1,-427,-1129,-2411,1067,,,,,,,,,,,,-12,,,,,
,-2249,-11,-1760,-5110,-8594,-14378,,,,,,,,,,,,-6,,,,,
,6462,-4,-447,-1466,-1808,-9708,,,,,,,,,,,,11,,,,,
,-3869,-5,-46,-112,450,-4438,,,,,,,,,,,,3,,,,,
,-2205,29,443,1228,1831,7600,,,,,,,,,,,,2,,,,,
,240,-28,1807,5264,7934,19796,,,,,,,,,,,,-9,,,,,
,-120,,492,1570,2066,5644,,,,,,,,,,,,-7,,,,,
,141,-2,11,-50,440,-4977,,,,,,,,,,,,10,,,,,
,-193,1,-511,-1393,-1588,-8114,,,,,,,,,,,,3,,,,,
,4143,-12,-1816,-5265,-8711,-11546,,,,,,,,,,,,-4,,,,,
,-2354,2,-416,-1304,-2679,63,,,,,,,,,,,,6,,,,,
,2227,-18,46,14,-398,890,,,,,,,,,,,,-6,,,,,
,-3870,17,447,1305,2728,-1069,,,,,,,,,,,,9,,,,,
,2347,-17,1749,5330,9382,11703,,,,,,,,,,,,-10,,,,,
,151,-14,423,1000,1145,6463,,,,,,,,,,,,17,,,,,
