Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Fz (uV),P4 (uV),O1 (uV),O2 (uV),Ref (uV),AccX (mg),AccY (mg),AccZ (mg),Event A,Event B
3464.00,2562395192.40,192168686.00,-3763.54,-3755.43,-3766.49,-3766.56,-3757.22,-3763.16,-3764.50,-3769.35,-3767.79,-3771.99,-3773.49,-3769.24,-3762.31,-3771.48,-3769.06,-3769.58,0.00,0.00,0.00,0.00,0.00
,-1374,3,,-7,-4,-7,4,1,5,11,-3,-9,-3,7,,10,-1,-4,,,,,
,328,-11,,-4,8,-2,-7,9,8,-3,5,-10,-12,-9,-13,-8,-1,-9,,,,,
,-902,-19,13,13,2,-1,-1,6,,4,3,8,2,3,4,-15,-11,-2,,,,,
,-41,17,-1,-5,-6,-10,10,-1,-7,3,-2,16,16,11,16,6,4,7,,,,,
,2,3,-9,-5,11,4,1,-11,1,-5,-1,-2,4,3,-5,7,10,10,,,,,
,-86,-21,-11,6,-6,7,-7,2,6,2,7,-3,-24,-2,-10,-3,-12,-9,,,,,
,2260,,3,3,,-4,,5,3,-9,-10,1,-3,-7,-2,-4,7,-4,,,,,
,-2374,,6,2,-1,6,2,2,-7,10,-3,9,16,-4,7,6,-2,6,,,,,
,-88,1,11,-4,2,-3,3,-1,3,-6,7,,11,-4,6,-2,-9,-2,,,,,
,-1,1,1,-17,-2,6,-7,13,-2,-4,-9,-27,-8,,-5,,8,4,,,,,
,201,-13,-8,12,-14,-16,-2,-14,-5,-5,5,6,8,9,5,6,-8,-8,,,,,
,-89,1,-2,11,10,4,11,-1,7,8,-1,1,-9,-12,-7,3,7,-6,,,,,
,196,11,-7,-1,3,-3,-3,,6,3,5,-4,-9,,,-17,3,9,,,,,
,-235,-12,-5,,7,14,10,,10,6,-3,9,6,8,,8,9,-4,,,,,
,-88,-21,-3,-9,,-5,-3,6,-13,2,5,7,-6,6,6,11,3,8,,,,,
,3005,22,4,5,3,,-19,-1,1,2,,-13,2,7,10,-6,-8,-8,,,,,
,-2280,-19,-1,2,-8,5,2,2,2,1,-5,-4,-5,-9,-12,-5,-12,4,,,,,
,1096,18,13,-4,-5,-4,23,-9,-9,,9,15,1,3,,7,7,-4,,,,,
,-711,-31,8,-10,4,-11,,10,19,-10,-14,-5,-2,5,-3,-1,2,-5,,,,,
,-886,1,,9,,11,-16,1,-15,2,1,3,,-5,-9,-2,4,-5,,,,,
,869,11,-11,-3,2,-11,-3,-11,-15,-25,7,-5,2,-3,,-9,5,-6,,,,,
,-890,-11,4,4,-7,5,14,-2,13,4,,-17,5,-5,10,11,5,13,,,,,
,-213,10,5,,-1,12,-1,20,15,31,4,1,10,6,5,6,-11,-2,,,,,
,-39,-11,-6,-6,2,-4,-7,-8,-13,-4,,13,-11,,2,-4,-1,13,,,,,
,24,11,-7,-5,5,-10,4,-18,-8,-12,4,7,-10,-2,-3,-2,9,4,,,,,
,3741,-10,15,3,-1,-1,3,8,13,3,-5,4,3,1,3,-10,2,-6,,,,,
,-3852,-22,-9,2,-3,13,1,5,4,8,-10,-16,14,-5,-8,14,,5,,,,,
,3456,23,3,-4,-6,2,-10,-7,-15,-9,5,1,,1,,1,-14,-3,,,,,
,-2812,-1,-13,5,7,-8,-3,-1,1,-5,5,12,4,3,-4,-1,,5,,,,,
,-341,-20,8,-12,-5,-5,-1,14,5,3,-15,-15,-10,-15,-8,-15,-3,-12,,,,,
,-272,-13,7,10,3,8,4,-3,2,11,6,3,-4,6,6,-2,2,-2,,,,,
,128,12,-11,12,18,-2,,-1,-10,-10,6,-8,2,6,12,10,-2,5,,,,,
