Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
4548,18604988,806297452,-3763.3824,-3755.26935,-3765.975,-3766.75725,-3756.6774,-3762.82365,-3763.9635,-3768.7017,-3767.56185,-3771.8307,-3773.32815,-3768.7911,-3762.0414,-3771.27195,-3768.9699,-3769.48395,0,0,0,0,0
,,-7,2,-1,8,6,,7,-2,2,15,6,10,,9,11,2,2,,,,,
,127,17,-1,4,-10,5,-5,-5,-2,-7,2,-9,-11,9,-6,-6,-2,4,,,,,
,1772,-15,14,4,-2,-2,-3,-5,7,5,-14,1,7,-22,-3,-4,-5,-8,,,,,
,1280,,-16,-11,-10,-2,-2,4,-7,5,3,3,-7,,-4,2,-2,-13,,,,,
,-3251,-2,-4,-1,3,4,-3,9,-7,-16,-1,-3,3,7,3,5,12,16,,,,,
,218,2,17,12,,-14,2,-5,19,-1,-11,4,-2,-5,-2,3,1,2,,,,,
,187,-10,1,-2,5,-8,1,17,,11,,8,2,11,6,-2,-7,7,,,,,
,251,10,1,-11,-1,14,-5,9,-2,1,13,-10,1,-6,-7,-2,9,4,,,,,
,1292,4,-6,-1,-5,3,6,-11,-9,,-1,6,12,-6,1,-4,2,-7,,,,,
,-2024,-10,11,19,-9,,-4,-5,5,8,9,-8,-8,7,1,-4,,6,,,,,
,539,-8,-10,4,1,,,-10,-12,-5,-9,-2,-17,7,7,-6,,-8,,,,,
,-296,-13,-1,-12,2,1,-2,3,5,3,1,2,3,3,-8,18,-1,-7,,,,,
,-156,2,14,-10,8,11,,13,9,-13,-2,-5,14,-6,3,-9,-2,2,,,,,
,29,-1,-7,-2,7,5,1,-4,-1,-2,-3,11,4,1,4,-6,6,6,,,,,
,565,16,-6,13,-1,-10,9,-1,-2,12,-8,-4,-9,2,-4,12,-10,-6,,,,,
,-276,-20,-6,8,-6,-3,-6,-3,-3,-16,8,-4,-10,-15,-23,-9,-9,-11,,,,,
,-145,-13,3,-6,12,,5,-2,6,6,13,10,13,7,17,,9,19,,,,,
,130,11,11,,-6,7,9,4,-1,7,,-11,-3,1,6,4,4,-5,,,,,
,320,2,-5,-14,-2,-11,-2,2,-21,-4,-15,5,3,,,-1,-2,-10,,,,,
,-570,-1,1,8,10,-7,-4,-9,5,-5,-15,-3,-11,-2,2,-3,-3,2,,,,,
,-123,4,-5,6,-11,,-7,-5,-9,-4,16,-5,16,6,7,4,7,1,,,,,
,262,-18,-11,-7,-14,7,4,7,10,4,-6,-6,-14,-15,-10,-4,-1,10,,,,,
,85,1,,-6,7,4,-9,-3,1,,7,17,9,3,-1,4,7,15,,,,,
,-168,-16,22,8,7,-2,3,13,,9,3,-14,3,3,-1,2,5,-18,,,,,
,80,-3,3,3,3,-6,2,10,5,-6,1,-1,-3,9,-1,-10,2,-7,,,,,
,-80,23,-10,-7,-4,12,4,-5,5,1,3,2,,5,-4,13,-12,10,,,,,
,-94,,4,2,10,-2,-11,-11,,2,11,8,-8,-5,-3,-11,5,-1,,,,,
,282,-21,-4,5,-6,-7,2,-7,2,-2,-16,-2,-7,-11,-2,-1,4,-3,,,,,
,-34,,-9,2,-5,-7,5,8,-10,-7,-11,9,15,7,6,7,-6,3,,,,,
,47,-3,-2,2,-8,7,14,,8,7,11,-9,-6,,2,8,-7,-4,,,,,
,155,1,11,-7,9,8,-11,-11,7,-8,-10,,2,,6,-9,-8,1,,,,,
,-86,3,4,-6,4,5,-14,,-10,-6,1,-9,-8,-9,-13,-8,-6,-12,,,,,
,141,-2,-14,-2,-10,-5,-1,-3,1,-3,-3,-4,-6,2,-5,2,8,8,,,,,
,284,12,8,10,-7,3,2,3,2,13,10,4,7,8,6,12,-2,2,,,,,
,157,-12,2,-4,9,-2,10,6,6,4,12,19,3,1,16,-5,15,-1,,,,,
,-426,-18,6,11,,5,-3,-3,3,1,-10,,14,-7,4,-3,,-8,,,,,
,-309,,-6,1,2,-9,-11,-4,-7,-5,-5,,-1,-5,-2,1,13,14,,,,,
