Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Disabled (uV),F3 (uV),Fz (uV),F4 (uV),Disabled (uV),C3 (uV),Cz (uV),C4 (uV),Disabled (uV),P3 (uV),Pz (uV),P4 (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
8248,33410530,1134643079,-21390.22395,0.0,-13965.3081,-17041.45035,-14110.15845,0.0,2923.00005,6143.121,-187485.3888,0.0,-912.70695,2458.7235,6578.29785,0.0,0.0,-13.1865,0,0,0,0,0
,194,-3,3974,,3048,3635,4836,,2585,3009,,,3612,3493,3897,,,-9,,,,,
,-805,5,1857,,984,1318,2293,,714,770,,,1304,1226,1477,,,-13,,,,,
,2689,-12,227,,-20,102,272,,-57,-8,,,95,120,104,,,7,,,,,
,-2487,-7,-837,,-858,-906,-895,,-811,-804,,,-766,-788,-836,,,19,,,,,
,-85,6,-3983,,-3034,-3745,-4769,,-2585,-3025,,,-3594,-3537,-3909,,,-3,,,,,
,570,-2,-1990,,-1087,-1557,-2421,,-665,-787,,,-1225,-1192,-1351,,,,,,,,
,-857,11,-364,,-106,-193,-475,,108,-26,,,101,-49,-109,,,-5,,,,,
,1079,-30,735,,722,908,776,,652,755,,,858,802,771,,,-1,,,,,
,-203,1,3930,,2992,3731,4839,,2487,2999,,,3505,3479,3863,,,3,,,,,
,-330,-4,1940,,1068,1309,2379,,701,767,,,1291,1221,1466,,,3,,,,,
,-103,23,322,,160,48,350,,57,51,,,83,102,140,,,-8,,,,,
,3303,-20,-610,,-627,-738,-759,,-725,-727,,,-887,-808,-828,,,1,,,,,
,-3745,5,-3991,,-3131,-3684,-4903,,-2642,-3102,,,-3453,-3445,-3893,,,-1,,,,,
,1476,18,-2012,,-1134,-1484,-2480,,-659,-848,,,-1086,-1137,-1422,,,,,,,,
,-956,3,-201,,-29,-102,-285,,38,12,,,-133,-94,-63,,,5,,,,,
,151,-25,785,,771,802,907,,681,797,,,798,746,844,,,5,,,,,
,-398,,3983,,3040,3701,4828,,2542,3031,,,3622,3494,3797,,,-2,,,,,
,170,-13,2056,,1087,1512,2400,,729,808,,,1311,1214,1405,,,-13,,,,,
,-171,,486,,150,233,435,,83,27,,,175,94,79,,,-2,,,,,
,-264,13,-702,,-713,-850,-835,,-675,-785,,,-830,-840,-777,,,5,,,,,
,907,-1,-3952,,-2940,-3740,-4765,,-2543,-2987,,,-3598,-3512,-3802,,,-5,,,,,
,-681,1,-1870,,-1019,-1358,-2307,,-677,-761,,,-1287,-1221,-1413,,,-4,,,,,
,-199,-1,-336,,-157,-30,-401,,-137,-23,,,-238,-112,-138,,,11,,,,,
,1316,,831,,759,906,830,,652,751,,,793,845,853,,,,,,,,
,-577,,3912,,3083,3683,4801,,2667,3021,,,3656,3494,3803,,,7,,,,,
,1341,-12,2120,,1213,1398,2498,,796,821,,,1332,1146,1422,,,-2,,,,,
,-1920,5,461,,197,220,492,,42,24,,,56,107,168,,,-4,,,,,
,357,-5,-906,,-790,-719,-808,,-779,-794,,,-831,-733,-785,,,6,,,,,
,1718,,-3767,,-2988,-3531,-4638,,-2630,-2998,,,-3550,-3425,-3806,,,1,,,,,
,-2061,13,-1704,,-1009,-1347,-2237,,-591,-757,,,-1181,-1196,-1417,,,-5,,,,,
,-126,-1,-481,,-135,-283,-469,,45,-47,,,-38,-113,-112,,,5,,,,,
,85,-29,520,,618,726,637,,622,732,,,802,773,779,,,-14,,,,,
,196,16,3982,,2992,3762,4760,,2526,2997,,,3548,3480,3760,,,-1,,,,,
,151,-12,1996,,1105,1464,2436,,684,797,,,1158,1182,1416,,,13,,,,,
,-144,-5,468,,217,117,390,,105,3,,,190,137,161,,,-8,,,,,
,999,-4,-766,,-715,-928,-789,,-694,-779,,,-802,-736,-689,,,-1,,,,,
,-3,,-3950,,-3069,-3663,-4760,,-2635,-3017,,,-3656,-3481,-3732,,,-2,,,,,
,1909,14,-1833,,-1042,-1233,-2298,,-642,-771,,,-1238,-1209,-1486,,,8,,,,,
,-2567,21,-427,,-197,-132,-464,,-66,-8,,,-161,-162,-201,,,2,,,,,
,-661,-30,520,,607,728,674,,650,729,,,828,788,798,,,-9,,,,,
,308,,4121,,3133,3661,4799,,2706,2960,,,3689,3503,3823,,,4,,,,,
,2513,-2,2111,,1164,1448,2471,,716,816,,,1262,1210,1391,,,5,,,,,
