Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Fz (uV),P4 (uV),O1 (uV),O2 (uV),Ref (uV),AccX (mg),AccY (mg),AccZ (mg),Event A,Event B
4456.00,25732064129.10,596731247.00,-19.67,-48.57,-93.52,-180.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.19,0.00,0.00,0.00,0.00,0.00
,-3776,6,1849,5127,8495,15450,,,,,,,,,,,,-6,,,,,
,-241,9,468,1318,2174,4232,,,,,,,,,,,,5,,,,,
,-3594,-19,-55,60,-101,-267,,,,,,,,,,,,9,,,,,
,602,,-506,-1078,-2054,-3296,,,,,,,,,,,,-2,,,,,
,-764,51,-1777,-5268,-8337,-15072,,,,,,,,,,,,11,,,,,
,1346,-40,-367,-1505,-2223,-4361,,,,,,,,,,,,,,,,,
,1042,1,,-79,15,-136,,,,,,,,,,,,-13,,,,,
,-1432,-12,385,1256,1958,3149,,,,,,,,,,,,3,,,,,
,-1054,25,1750,5392,8397,15371,,,,,,,,,,,,5,,,,,
,-729,-25,475,1421,2307,4662,,,,,,,,,,,,-2,,,,,
,-117,11,67,-95,65,130,,,,,,,,,,,,4,,,,,
,-11,-11,-455,-1362,-2038,-3583,,,,,,,,,,,,-4,,,,,
,246,10,-1834,-5190,-8528,-15552,,,,,,,,,,,,-10,,,,,
,-290,,-484,-1215,-2308,-4374,,,,,,,,,,,,7,,,,,
,40,2,31,1,93,167,,,,,,,,,,,,,,,,,
,-28,16,505,1119,2139,3634,,,,,,,,,,,,2,,,,,
,-52,-28,1809,5100,8380,15052,,,,,,,,,,,,-1,,,,,
,438,,403,1482,2134,4203,,,,,,,,,,,,3,,,,,
,-385,17,-55,196,-5,133,,,,,,,,,,,,-2,,,,,
,62,-3,-423,-1254,-1939,-3191,,,,,,,,,,,,8,,,,,
,-182,-16,-1738,-5368,-8406,-15232,,,,,,,,,,,,-2,,,,,
,422,26,-432,-1493,-2269,-4585,,,,,,,,,,,,-11,,,,,
,299,-26,-44,34,-81,-277,,,,,,,,,,,,3,,,,,
,-425,,389,1403,2042,3538,,,,,,,,,,,,4,,,,,
,-23,14,1819,5237,8517,15458,,,,,,,,,,,,-11,,,,,
,3101,-11,513,1309,2237,4536,,,,,,,,,,,,5,,,,,
,-3450,9,6,-88,15,-32,,,,,,,,,,,,-4,,,,,
,325,5,-505,-1211,-2113,-3700,,,,,,,,,,,,-3,,,,,
,-221,-15,-1843,-5074,-8492,-15234,,,,,,,,,,,,-1,,,,,
,149,1,-407,-1382,-2138,-4223,,,,,,,,,,,,3,,,,,
,-150,10,61,-116,22,37,,,,,,,,,,,,-2,,,,,
,-117,-12,466,1116,2078,3395,,,,,,,,,,,,,,,,,
,442,-1,1737,5275,8359,14988,,,,,,,,,,,,4,,,,,
,2476,12,395,1592,2153,4472,,,,,,,,,,,,13,,,,,
,-2166,-12,41,22,103,238,,,,,,,,,,,,-10,,,,,
,-482,,-403,-1377,-2003,-3351,,,,,,,,,,,,-6,,,,,
,249,2,-1789,-5305,-8401,-15282,,,,,,,,,,,,3,,,,,
,-425,10,-477,-1386,-2353,-4807,,,,,,,,,,,,5,,,,,
,72,-7,-36,136,-98,-8,,,,,,,,,,,,-3,,,,,
,1501,2,449,1250,2185,3695,,,,,,,,,,,,-10,,,,,
,-1600,18,1851,5149,8495,15398,,,,,,,,,,,,,,,,,
,74,-8,445,1298,2206,4367,,,,,,,,,,,,5,,,,,
,36,-11,-41,34,-63,-274,,,,,,,,,,,,13,,,,,
,-81,11,-500,-1105,-2135,-3451,,,,,,,,,,,,4,,,,,
,-3,-9,-1774,-5184,-8308,-14988,,,,,,,,,,,,-9,,,,,
