Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Disabled (uV),F3 (uV),Fz (uV),F4 (uV),Disabled (uV),C3 (uV),Cz (uV),C4 (uV),Disabled (uV),P3 (uV),Pz (uV),P4 (uV),Disabled (uV),Disabled (uV),Ref (uV),AccX (mg),AccY (mg),AccZ (mg),Event A,Event B
8247.00,320798895.50,1396361968.00,-22907.99,0.00,-19479.27,-5880.30,-28323.28,0.00,-19336.16,-3349.32,-187499.98,0.00,-29902.61,-4820.85,-29641.25,0.00,0.00,-13.30,0.00,0.00,0.00,0.00,0.00
,1085,-13,666,,508,747,646,,824,862,,,815,770,1003,,,,,,,,
,-1140,-5,3651,,2797,3501,3415,,3845,3951,,,3705,2754,3591,,,-9,,,,,
,2285,4,1076,,707,994,1136,,1303,1197,,,1230,566,1334,,,9,,,,,
,-1900,1,230,,-112,205,244,,94,143,,,13,-119,40,,,-5,,,,,
,-53,-13,-647,,-588,-732,-610,,-862,-888,,,-858,-737,-765,,,,,,,,
,-477,12,-3385,,-2509,-3401,-3297,,-3899,-3955,,,-3482,-2606,-3788,,,12,,,,,
,111,-4,-911,,-450,-854,-977,,-1228,-1130,,,-1245,-587,-1549,,,,,,,,
,10,-8,-70,,-23,28,-70,,-135,7,,,-216,-29,-219,,,-9,,,,,
,26,13,659,,543,799,604,,867,913,,,658,665,772,,,-3,,,,,
,356,-13,3399,,2444,3295,3175,,3985,3851,,,3687,2628,3751,,,1,,,,,
,2772,21,1197,,690,896,1066,,1383,1134,,,1387,630,1352,,,5,,,,,
,-2670,-27,25,,102,3,25,,55,35,,,240,131,149,,,-1,,,,,
,1205,-38,-809,,-662,-781,-751,,-885,-884,,,-854,-695,-642,,,3,,,,,
,-1628,,-3475,,-2612,-3387,-3306,,-3859,-3896,,,-3566,-2676,-3827,,,,,,,,
,465,25,-1015,,-698,-951,-1088,,-1269,-1212,,,-1267,-677,-1551,,,-1,,,,,
,-462,3,-25,,-30,-35,4,,-152,-70,,,-97,28,-77,,,1,,,,,
,-131,3,730,,765,850,690,,779,911,,,705,817,928,,,-4,,,,,
,261,-6,3286,,2279,3341,3276,,3742,3873,,,3490,2732,3994,,,5,,,,,
,1106,-1,1131,,681,994,1170,,1551,1234,,,1359,614,1480,,,4,,,,,
,319,12,125,,10,87,222,,171,90,,,128,-44,184,,,-6,,,,,
,-1685,-12,-859,,-744,-948,-715,,-937,-1035,,,-701,-725,-758,,,8,,,,,
,63,-36,-3433,,-2403,-3380,-3271,,-3985,-3890,,,-3669,-2622,-3875,,,,,,,,
,187,37,-988,,-495,-757,-1032,,-1248,-1090,,,-1466,-651,-1523,,,-18,,,,,
,-307,,95,,17,61,-83,,23,-55,,,-50,-19,-115,,,4,,,,,
,369,1,752,,665,840,705,,966,926,,,837,688,731,,,6,,,,,
