Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Cz (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
1858,7853316,332857021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.33785,0,0,0,0,0
,-490,,,,,,,,,-8,,,,,,,,2,,,,,
,491,10,,,,,,,,,,,,,,,,,,,,,
,-451,-31,,,,,,,,,,,,,,,,8,,,,,
,-908,22,,,,,,,,7,,,,,,,,-10,,,,,
,621,-1,,,,,,,,6,,,,,,,,-5,,,,,
,-160,-31,,,,,,,,-8,,,,,,,,10,,,,,
,406,-2,,,,,,,,4,,,,,,,,-11,,,,,
,-426,2,,,,,,,,1,,,,,,,,6,,,,,
,913,1,,,,,,,,13,,,,,,,,-5,,,,,
,-131,,,,,,,,,-2,,,,,,,,-2,,,,,
,152,13,,,,,,,,-3,,,,,,,,-5,,,,,
,908,-19,,,,,,,,,,,,,,,,11,,,,,
,-1428,5,,,,,,,,-15,,,,,,,,3,,,,,
,933,-3,,,,,,,,17,,,,,,,,,,,,,
,1460,-17,,,,,,,,-10,,,,,,,,-13,,,,,
,-2315,1,,,,,,,,-7,,,,,,,,,,,,,
,398,-1,,,,,,,,-3,,,,,,,,8,,,,,
,-426,1,,,,,,,,1,,,,,,,,-8,,,,,
,199,-11,,,,,,,,16,,,,,,,,8,,,,,
,896,8,,,,,,,,7,,,,,,,,-4,,,,,
,2811,-9,,,,,,,,-8,,,,,,,,9,,,,,
,-3186,1,,,,,,,,10,,,,,,,,,,,,,
,-626,,,,,,,,,-6,,,,,,,,-8,,,,,
,113,-20,,,,,,,,7,,,,,,,,1,,,,,
,-590,20,,,,,,,,-6,,,,,,,,,,,,,
,1162,-32,,,,,,,,-18,,,,,,,,-8,,,,,
,-1230,12,,,,,,,,,,,,,,,,8,,,,,
,3291,-10,,,,,,,,8,,,,,,,,-10,,,,,
,-3214,-1,,,,,,,,1,,,,,,,,11,,,,,
,3891,9,,,,,,,,3,,,,,,,,-1,,,,,
,-3229,-23,,,,,,,,2,,,,,,,,1,,,,,
,-688,-4,,,,,,,,-7,,,,,,,,-3,,,,,
,68,18,,,,,,,,-4,,,,,,,,9,,,,,
,718,,,,,,,,,5,,,,,,,,-2,,,,,
,-141,-1,,,,,,,,2,,,,,,,,5,,,,,
,2095,-18,,,,,,,,10,,,,,,,,1,,,,,
,-2897,,,,,,,,,7,,,,,,,,-5,,,,,
,457,-12,,,,,,,,-17,,,,,,,,-11,,,,,
,611,11,,,,,,,,-11,,,,,,,,2,,,,,
,2375,-3,,,,,,,,14,,,,,,,,-2,,,,,
,-3585,-6,,,,,,,,-5,,,,,,,,4,,,,,
,236,-2,,,,,,,,5,,,,,,,,,,,,,
,-113,-21,,,,,,,,-8,,,,,,,,1,,,,,
,227,1,,,,,,,,7,,,,,,,,-8,,,,,
,590,20,,,,,,,,-4,,,,,,,,10,,,,,
,-677,-20,,,,,,,,,,,,,,,,13,,,,,
,2359,,,,,,,,,-3,,,,,,,,-10,,,,,
,-1805,-9,,,,,,,,17,,,,,,,,-5,,,,,
,-349,9,,,,,,,,6,,,,,,,,-10,,,,,
,22,-10,,,,,,,,-11,,,,,,,,14,,,,,
,741,10,,,,,,,,-10,,,,,,,,4,,,,,
,-763,-10,,,,,,,,8,,,,,,,,2,,,,,
,-151,-6,,,,,,,,4,,,,,,,,-6,,,,,
,426,-21,,,,,,,,-9,,,,,,,,10,,,,,
,134,5,,,,,,,,10,,,,,,,,-7,,,,,
,130,21,,,,,,,,-28,,,,,,,,-2,,,,,
,-776,-11,,,,,,,,17,,,,,,,,5,,,,,
,87,10,,,,,,,,8,,,,,,,,-7,,,,,
,148,-10,,,,,,,,-5,,,,,,,,-7,,,,,
,109,-18,,,,,,,,10,,,,,,,,-2,,,,,
,26,1,,,,,,,,-12,,,,,,,,6,,,,,
,338,-5,,,,,,,,-2,,,,,,,,-3,,,,,
,255,21,,,,,,,,-8,,,,,,,,7,,,,,
,-480,-24,,,,,,,,2,,,,,,,,-3,,,,,
,2338,8,,,,,,,,10,,,,,,,,-10,,,,,
,-3154,,,,,,,,,-2,,,,,,,,-2,,,,,
,1231,-25,,,,,,,,-7,,,,,,,,10,,,,,
,-619,-3,,,,,,,,,,,,,,,,6,,,,,
,3235,27,,,,,,,,28,,,,,,,,3,,,,,
,-3193,-27,,,,,,,,-3,,,,,,,,-6,,,,,
,-345,-21,,,,,,,,-15,,,,,,,,-1,,,,,
,905,2,,,,,,,,-23,,,,,,,,11,,,,,
,-623,20,,,,,,,,10,,,,,,,,-10,,,,,
,-79,-20,,,,,,,,3,,,,,,,,-3,,,,,
,-22,,,,,,,,,-10,,,,,,,,8,,,,,
,148,,,,,,,,,9,,,,,,,,5,,,,,
,310,,,,,,,,,7,,,,,,,,-8,,,,,
,-639,-3,,,,,,,,-7,,,,,,,,1,,,,,
,183,-11,,,,,,,,8,,,,,,,,-3,,,,,
,-77,-16,,,,,,,,12,,,,,,,,7,,,,,
,6193,2,,,,,,,,-17,,,,,,,,-17,,,,,
,-3550,8,,,,,,,,2,,,,,,,,10,,,,,
,-3254,-23,,,,,,,,1,,,,,,,,6,,,,,
,1764,28,,,,,,,,10,,,,,,,,-4,,,,,
,-1177,-15,,,,,,,,-4,,,,,,,,3,,,,,
,1177,3,,,,,,,,-6,,,,,,,,-3,,,,,
,-1242,9,,,,,,,,-10,,,,,,,,1,,,,,
,751,3,,,,,,,,-8,,,,,,,,,,,,,
,-549,-43,,,,,,,,14,,,,,,,,,,,,,
,1813,15,,,,,,,,6,,,,,,,,-9,,,,,
,-2072,-20,,,,,,,,-8,,,,,,,,-4,,,,,
,322,3,,,,,,,,-5,,,,,,,,5,,,,,
,149,-1,,,,,,,,8,,,,,,,,10,,,,,
,-131,-1,,,,,,,,2,,,,,,,,1,,,,,
,998,-14,,,,,,,,-14,,,,,,,,-1,,,,,
,-1377,16,,,,,,,,14,,,,,,,,-4,,,,,
,206,-1,,,,,,,,-2,,,,,,,,-1,,,,,
,202,2,,,,,,,,-3,,,,,,,,6,,,,,
,617,-2,,,,,,,,,,,,,,,,-1,,,,,
,-829,-11,,,,,,,,8,,,,,,,,4,,,,,
,-95,-21,,,,,,,,-2,,,,,,,,-14,,,,,
,4509,2,,,,,,,,-6,,,,,,,,-7,,,,,
,-3451,1,,,,,,,,13,,,,,,,,10,,,,,
,-480,3,,,,,,,,-2,,,,,,,,10,,,,,
,232,-3,,,,,,,,3,,,,,,,,-4,,,,,
,-584,1,,,,,,,,-7,,,,,,,,-5,,,,,
,59,3,,,,,,,,,,,,,,,,16,,,,,
,-140,-22,,,,,,,,3,,,,,,,,-3,,,,,
,1018,17,,,,,,,,-6,,,,,,,,-9,,,,,
,3049,-16,,,,,,,,1,,,,,,,,,,,,,
,-3225,17,,,,,,,,,,,,,,,,15,,,,,
,-406,-20,,,,,,,,6,,,,,,,,-10,,,,,
,-264,-21,,,,,,,,-11,,,,,,,,-13,,,,,
,3441,23,,,,,,,,11,,,,,,,,5,,,,,
,-2834,1,,,,,,,,-3,,,,,,,,-3,,,,,
,-469,-1,,,,,,,,-4,,,,,,,,3,,,,,
,158,-7,,,,,,,,1,,,,,,,,-2,,,,,
,-368,6,,,,,,,,2,,,,,,,,3,,,,,
,-8,1,,,,,,,,10,,,,,,,,-4,,,,,
,-254,-26,,,,,,,,19,,,,,,,,3,,,,,
,-485,-17,,,,,,,,-23,,,,,,,,3,,,,,
,862,-2,,,,,,,,-11,,,,,,,,10,,,,,
,8,19,,,,,,,,,,,,,,,,-3,,,,,
,1521,-21,,,,,,,,13,,,,,,,,2,,,,,
,-1833,-1,,,,,,,,8,,,,,,,,-5,,,,,
,480,2,,,,,,,,-2,,,,,,,,-3,,,,,
,212,-12,,,,,,,,,,,,,,,,-4,,,,,
,-1040,13,,,,,,,,8,,,,,,,,-8,,,,,
,-28,-31,,,,,,,,-5,,,,,,,,8,,,,,
,279,,,,,,,,,-23,,,,,,,,-2,,,,,
,-336,5,,,,,,,,10,,,,,,,,2,,,,,
