Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Right arm 1 (uV),Right arm 2 (uV),Left leg (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
1867,7901976,492228385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66605,1.7433,-14.3934,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
,-3299,20,,,,,,,,,-10,-5,2,,,,,,,,,,
,-3480,-15,,,,,,,,,,-14,-4,,,,,,,,,,
,-2009,-21,,,,,,,,,-5,9,-8,,,,,,,,,,
,-1557,15,,,,,,,,,1,-3,,,,,,,,,,,
,11167,-23,,,,,,,,,2,-27,-5,,,,,,,,,,
,-2774,,,,,,,,,,10,10,2,,,,,,,,,,
,-3155,,,,,,,,,,2,,-7,,,,,,,,,,
,-3123,,,,,,,,,,-5,1,6,,,,,,,,,,
,5562,14,,,,,,,,,7,17,5,,,,,,,,,,
,6532,-14,,,,,,,,,-8,-12,5,,,,,,,,,,
,-3164,-9,,,,,,,,,-2,12,-6,,,,,,,,,,
,-3511,9,,,,,,,,,-2,4,7,,,,,,,,,,
,-2899,-13,,,,,,,,,-4,-10,-3,,,,,,,,,,
,-3498,-18,,,,,,,,,14,-2,-4,,,,,,,,,,
,-1764,44,,,,,,,,,-12,-2,,,,,,,,,,,
,30879,-44,,,,,,,,,-4,,15,,,,,,,,,,
,-3463,-13,,,,,,,,,4,,-7,,,,,,,,,,
,-3795,13,,,,,,,,,13,15,1,,,,,,,,,,
,-3270,,,,,,,,,,5,,1,,,,,,,,,,
,-3482,,,,,,,,,,-30,-9,7,,,,,,,,,,
,-3274,9,,,,,,,,,9,-3,-9,,,,,,,,,,
,-3204,-9,,,,,,,,,7,4,-3,,,,,,,,,,
,-3839,12,,,,,,,,,-5,,-9,,,,,,,,,,
,4972,-34,,,,,,,,,-8,-4,,,,,,,,,,,
,-1651,-8,,,,,,,,,-1,-5,7,,,,,,,,,,
,-3637,,,,,,,,,,3,5,,,,,,,,,,,
,-2440,-10,,,,,,,,,10,-5,-1,,,,,,,,,,
,-95,,,,,,,,,,-5,4,,,,,,,,,,,
,-3386,9,,,,,,,,,-9,-13,1,,,,,,,,,,
,-24,1,,,,,,,,,-7,-1,-6,,,,,,,,,,
,4126,-1,,,,,,,,,8,14,-2,,,,,,,,,,
,-3068,14,,,,,,,,,2,-7,3,,,,,,,,,,
,-2176,-44,,,,,,,,,,13,15,,,,,,,,,,
,2121,-1,,,,,,,,,8,9,-2,,,,,,,,,,
,256,-9,,,,,,,,,2,-12,-6,,,,,,,,,,
,-1857,15,,,,,,,,,15,,-8,,,,,,,,,,
,-18,,,,,,,,,,-9,-12,-10,,,,,,,,,,
,2734,-5,,,,,,,,,-5,4,14,,,,,,,,,,
,-2818,,,,,,,,,,-7,6,-3,,,,,,,,,,
,-202,-10,,,,,,,,,3,-8,9,,,,,,,,,,
,-171,-44,,,,,,,,,8,,-2,,,,,,,,,,
,201,44,,,,,,,,,6,1,-8,,,,,,,,,,
,-534,-43,,,,,,,,,-25,12,,,,,,,,,,,
,728,43,,,,,,,,,10,-4,6,,,,,,,,,,
,-216,-55,,,,,,,,,-1,-17,-7,,,,,,,,,,
,-136,41,,,,,,,,,10,10,11,,,,,,,,,,
,548,-29,,,,,,,,,-9,14,-6,,,,,,,,,,
,483,-12,,,,,,,,,-7,-8,2,,,,,,,,,,
,-398,12,,,,,,,,,10,-7,,,,,,,,,,,
,-756,-11,,,,,,,,,5,1,-1,,,,,,,,,,
,481,-20,,,,,,,,,-6,-3,-3,,,,,,,,,,
,253,21,,,,,,,,,8,1,4,,,,,,,,,,
,1244,-19,,,,,,,,,-11,-10,7,,,,,,,,,,
,-1481,9,,,,,,,,,-5,12,-12,,,,,,,,,,
,-7,-9,,,,,,,,,2,10,6,,,,,,,,,,
,-197,-13,,,,,,,,,9,-2,5,,,,,,,,,,
,-119,12,,,,,,,,,-7,-13,-11,,,,,,,,,,
,1709,-14,,,,,,,,,4,,,,,,,,,,,,
,-1659,13,,,,,,,,,-6,6,1,,,,,,,,,,
,3229,-30,,,,,,,,,-2,,-2,,,,,,,,,,
,-3382,20,,,,,,,,,-5,10,3,,,,,,,,,,
,1161,-1,,,,,,,,,4,-1,8,,,,,,,,,,
,-1149,-1,,,,,,,,,-3,-2,,,,,,,,,,,
,2366,-18,,,,,,,,,5,-17,-1,,,,,,,,,,
,7200,1,,,,,,,,,13,5,7,,,,,,,,,,
,-3344,-2,,,,,,,,,-8,-5,-8,,,,,,,,,,
,-3557,1,,,,,,,,,6,6,,,,,,,,,,,
,-2901,1,,,,,,,,,-7,3,1,,,,,,,,,,
,508,-12,,,,,,,,,-2,-10,3,,,,,,,,,,
,547,-20,,,,,,,,,12,7,-10,,,,,,,,,,
,-119,-3,,,,,,,,,8,-4,3,,,,,,,,,,
,3699,23,,,,,,,,,-18,2,9,,,,,,,,,,
,-3336,3,,,,,,,,,-4,15,-5,,,,,,,,,,
,-880,-36,,,,,,,,,7,-4,1,,,,,,,,,,
,825,13,,,,,,,,,-3,-13,-1,,,,,,,,,,
,-601,-1,,,,,,,,,14,-2,-7,,,,,,,,,,
,465,-2,,,,,,,,,-1,7,6,,,,,,,,,,
,95,-9,,,,,,,,,8,5,,,,,,,,,,,
,761,-13,,,,,,,,,-18,,-4,,,,,,,,,,
,-1044,13,,,,,,,,,-11,12,6,,,,,,,,,,
,-361,-15,,,,,,,,,17,-2,,,,,,,,,,,
,176,15,,,,,,,,,-6,-15,-6,,,,,,,,,,
,397,-31,,,,,,,,,-4,-2,1,,,,,,,,,,
,-91,-2,,,,,,,,,1,2,,,,,,,,,,,
,3949,14,,,,,,,,,-7,4,10,,,,,,,,,,
,-3243,-11,,,,,,,,,14,12,-8,,,,,,,,,,
,-1387,1,,,,,,,,,-8,-15,-8,,,,,,,,,,
,417,11,,,,,,,,,-2,-6,3,,,,,,,,,,
,1618,-33,,,,,,,,,5,11,-5,,,,,,,,,,
,-1276,15,,,,,,,,,1,-1,-2,,,,,,,,,,
,-999,8,,,,,,,,,11,6,,,,,,,,,,,
,1019,-22,,,,,,,,,-1,-3,-1,,,,,,,,,,
,-1330,-1,,,,,,,,,-3,,16,,,,,,,,,,
,971,,,,,,,,,,-3,7,1,,,,,,,,,,
,-226,-9,,,,,,,,,-6,-10,-12,,,,,,,,,,
,41,-1,,,,,,,,,9,-8,-3,,,,,,,,,,
,89,1,,,,,,,,,-2,,-6,,,,,,,,,,
,-211,1,,,,,,,,,-6,-2,8,,,,,,,,,,
,186,-22,,,,,,,,,8,11,4,,,,,,,,,,
,-168,21,,,,,,,,,13,7,10,,,,,,,,,,
,3597,-1,,,,,,,,,-18,-5,-10,,,,,,,,,,
,-1593,-14,,,,,,,,,-6,4,,,,,,,,,,,
,-1580,-17,,,,,,,,,-4,-12,6,,,,,,,,,,
,-861,1,,,,,,,,,5,2,-5,,,,,,,,,,
,941,11,,,,,,,,,5,,2,,,,,,,,,,
,-515,-13,,,,,,,,,-1,,4,,,,,,,,,,
,263,2,,,,,,,,,3,-4,-3,,,,,,,,,,
,207,-23,,,,,,,,,-9,-4,,,,,,,,,,,
,-780,22,,,,,,,,,-1,-3,6,,,,,,,,,,
,365,-19,,,,,,,,,14,18,-3,,,,,,,,,,
,-231,,,,,,,,,,-3,-6,-5,,,,,,,,,,
,377,-1,,,,,,,,,-2,14,6,,,,,,,,,,
,-179,-10,,,,,,,,,-5,-15,-11,,,,,,,,,,
,-467,11,,,,,,,,,4,-5,6,,,,,,,,,,
,1375,-10,,,,,,,,,-5,-2,,,,,,,,,,,
,-327,-1,,,,,,,,,-4,8,-5,,,,,,,,,,
,-859,11,,,,,,,,,13,9,-7,,,,,,,,,,
,437,-10,,,,,,,,,-4,2,2,,,,,,,,,,
,-649,-3,,,,,,,,,-2,-11,14,,,,,,,,,,
,525,-18,,,,,,,,,3,-1,1,,,,,,,,,,
,-626,-11,,,,,,,,,-12,-7,-8,,,,,,,,,,
,-110,-1,,,,,,,,,-6,3,-5,,,,,,,,,,
,879,2,,,,,,,,,2,4,5,,,,,,,,,,
,-361,,,,,,,,,,6,6,-3,,,,,,,,,,
,386,10,,,,,,,,,4,15,6,,,,,,,,,,
,503,-10,,,,,,,,,8,-3,2,,,,,,,,,,
,-666,8,,,,,,,,,-4,-6,-1,,,,,,,,,,
,60,-29,,,,,,,,,-4,-6,8,,,,,,,,,,
,-651,1,,,,,,,,,-6,2,-10,,,,,,,,,,
,1528,35,,,,,,,,,17,,-1,,,,,,,,,,
,-983,-46,,,,,,,,,-18,-3,7,,,,,,,,,,
,548,11,,,,,,,,,-12,6,2,,,,,,,,,,
,-1115,,,,,,,,,,17,8,,,,,,,,,,,
,-1,-11,,,,,,,,,13,-15,,,,,,,,,,,
,225,,,,,,,,,,-5,-3,-8,,,,,,,,,,
,409,12,,,,,,,,,-9,-4,-3,,,,,,,,,,
,484,-12,,,,,,,,,-2,9,6,,,,,,,,,,
,-80,-21,,,,,,,,,3,10,,,,,,,,,,,
,-261,22,,,,,,,,,12,-21,-3,,,,,,,,,,
,-505,-3,,,,,,,,,-9,-17,5,,,,,,,,,,
,655,-16,,,,,,,,,18,23,-5,,,,,,,,,,
,370,-12,,,,,,,,,-6,16,-1,,,,,,,,,,
,-610,10,,,,,,,,,-7,-20,4,,,,,,,,,,
,-362,-11,,,,,,,,,2,7,10,,,,,,,,,,
,-257,1,,,,,,,,,-9,,-5,,,,,,,,,,
,633,,,,,,,,,,-3,-6,-12,,,,,,,,,,
,-38,-22,,,,,,,,,15,9,8,,,,,,,,,,
,457,19,,,,,,,,,-8,4,-2,,,,,,,,,,
,788,-17,,,,,,,,,-2,-13,-4,,,,,,,,,,
,-856,-1,,,,,,,,,5,3,11,,,,,,,,,,
,-877,-12,,,,,,,,,1,10,-9,,,,,,,,,,
,980,2,,,,,,,,,-6,-13,-4,,,,,,,,,,
,168,,,,,,,,,,6,2,2,,,,,,,,,,
,-768,-1,,,,,,,,,-4,-7,10,,,,,,,,,,
,485,1,,,,,,,,,4,4,-14,,,,,,,,,,
,33,-6,,,,,,,,,6,4,5,,,,,,,,,,
,-30,18,,,,,,,,,-8,1,2,,,,,,,,,,
,309,-22,,,,,,,,,,18,,,,,,,,,,,
,-981,-1,,,,,,,,,-7,-20,-8,,,,,,,,,,
,-72,10,,,,,,,,,-2,11,-3,,,,,,,,,,
,590,-10,,,,,,,,,,,12,,,,,,,,,,
,-300,11,,,,,,,,,1,-13,,,,,,,,,,,
,-525,-1,,,,,,,,,2,-7,-4,,,,,,,,,,
,748,-28,,,,,,,,,5,4,2,,,,,,,,,,
,-244,15,,,,,,,,,6,6,6,,,,,,,,,,
,1710,3,,,,,,,,,-5,5,,,,,,,,,,,
,-1603,-21,,,,,,,,,-9,,-10,,,,,,,,,,
,-151,1,,,,,,,,,2,-9,7,,,,,,,,,,
,-88,,,,,,,,,,2,8,8,,,,,,,,,,
,-84,1,,,,,,,,,1,1,-9,,,,,,,,,,
,-177,-27,,,,,,,,,-6,-11,3,,,,,,,,,,
