Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Disabled (uV),F3 (uV),Fz (uV),F4 (uV),Disabled (uV),C3 (uV),Cz (uV),C4 (uV),Disabled (uV),P3 (uV),Pz (uV),P4 (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
349,1825372,517091959,3.2184,0.0,0.64815,5.60985,6.8391,0.0,6.5709,5.0958,11.3985,0.0,7.80015,6.23565,2.235,0.0,0.0,-16.7625,0,0,0,0,0
,-3635,-28,-6,,-12,-7,-6,,-2,-5,-11,,-19,-19,-5,,,13,,,,,
,-554,-3,-4,,1,5,6,,4,-9,4,,6,-3,24,,,-10,,,,,
,-346,-1,26,,24,9,17,,15,9,14,,28,11,,,,3,,,,,
,469,2,-10,,-1,10,-7,,-3,-2,2,,5,8,4,,,-5,,,,,
,858,,19,,16,5,-8,,10,-1,14,,,12,6,,,-1,,,,,
,-890,11,-1,,-7,,4,,-12,6,-8,,-11,-3,-15,,,2,,,,,
,2322,-3,-20,,-20,-16,13,,-15,-15,-14,,-2,-11,-1,,,7,,,,,
,-2113,3,-3,,4,11,1,,12,5,13,,11,-1,24,,,5,,,,,
,-482,-11,18,,-11,4,-14,,10,-6,-10,,-14,8,-9,,,-3,,,,,
,897,-1,-13,,-2,-11,12,,-9,1,6,,,-5,-4,,,3,,,,,
,-653,1,-9,,2,-2,,,-3,9,-1,,-14,-8,-6,,,1,,,,,
,353,-20,7,,-3,-10,-21,,1,-12,-3,,17,-2,-14,,,1,,,,,
,-569,21,3,,-1,-1,1,,,8,2,,-6,8,-5,,,-7,,,,,
,938,-33,5,,19,8,13,,7,16,4,,15,-5,29,,,-6,,,,,
,-557,,3,,1,7,-4,,2,-14,6,,-4,,-3,,,-7,,,,,
,736,-2,-13,,-5,-1,-4,,-8,2,-8,,-19,-2,-14,,,10,,,,,
,3513,13,-9,,-11,-4,-3,,-11,1,-7,,4,-15,-1,,,9,,,,,
,-3635,-9,-4,,6,-15,-7,,-10,-10,-10,,7,9,4,,,-4,,,,,
,473,14,26,,-3,-6,3,,2,4,13,,3,-3,12,,,-10,,,,,
,-546,-7,-3,,2,9,15,,3,3,7,,-5,1,1,,,-8,,,,,
,3735,4,-1,,14,7,-4,,12,-5,-3,,-4,4,-3,,,19,,,,,
,-3698,-1,-13,,-11,-5,-14,,-10,1,-4,,-4,-9,-10,,,-2,,,,,
,41,-10,2,,-8,18,9,,11,9,2,,9,4,14,,,-2,,,,,
,797,-1,4,,9,5,-4,,17,10,-16,,-1,,-6,,,4,,,,,
,-653,1,14,,19,8,7,,1,8,21,,4,,13,,,3,,,,,
,-196,,1,,-5,-6,-1,,-12,-17,8,,18,3,4,,,-1,,,,,
,-331,-3,-8,,-18,-12,,,,5,-10,,-12,,-10,,,-11,,,,,
,1931,-18,1,,-3,-2,-6,,8,-7,-5,,-10,12,-10,,,5,,,,,
,-2370,-10,-4,,1,-10,-7,,-11,-4,8,,2,-6,2,,,13,,,,,
