Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
1945,8196740,61025379,187485.36645,187485.36645,187485.36645,187485.36645,187485.36645,187485.36645,187485.36645,187485.36645,187485.36645,174518.7234,187485.36645,187485.36645,187485.36645,187485.36645,187485.36645,-741.2154,-195,88,1042,0,0
,-2002,,,,,,,,,,,-648,,,,,,-18,-16,-21,-4,,
,-85,-1,,,,,,,,,,965,,,,,,-22,-5,17,23,,
,-122,1,,,,,,,,,,1787,,,,,,12,5,-17,4,,
,2579,-1,,,,,,,,,,-486,,,,,,37,8,3,-28,,
,-935,-6,,,,,,,,,,-1622,,,,,,-16,1,12,16,,
,-112,9,,,,,,,,,,-616,,,,,,-14,-14,-8,6,,
,3,-1,,,,,,,,,,888,,,,,,-32,2,,-4,,
,-917,-8,,,,,,,,,,1871,,,,,,2,9,-8,-8,,
,211,-19,,,,,,,,,,-467,,,,,,37,4,-6,10,,
,156,-29,,,,,,,,,,-1553,,,,,,4,-22,8,-6,,
,-451,37,,,,,,,,,,-675,,,,,,-5,35,19,-17,,
,-232,-49,,,,,,,,,,871,,,,,,-29,-17,-18,25,,
,-37,-3,,,,,,,,,,1774,,,,,,7,-13,15,-11,,
,-528,1,,,,,,,,,,-371,,,,,,40,2,-17,-1,,
,146,1,,,,,,,,,,-1701,,,,,,-5,13,21,-10,,
,-37,-12,,,,,,,,,,-671,,,,,,-24,-18,-4,6,,
,226,9,,,,,,,,,,626,,,,,,-21,9,-18,3,,
,-26,1,,,,,,,,,,1664,,,,,,40,-10,6,-10,,
,544,-32,,,,,,,,,,-377,,,,,,24,20,25,-21,,
,-757,1,,,,,,,,,,-1587,,,,,,-29,-7,-25,24,,
,838,6,,,,,,,,,,-529,,,,,,2,1,15,13,,
,-679,-5,,,,,,,,,,866,,,,,,-11,-10,3,-22,,
,-179,,,,,,,,,,,1866,,,,,,-2,9,-8,13,,
,-39,-3,,,,,,,,,,-299,,,,,,17,9,-3,-2,,
,1018,4,,,,,,,,,,-1887,,,,,,9,-15,11,5,,
,113142,-27,,,,,,,,,,-371,,,,,,14,-3,-26,10,,
,-3084,-5,,,,,,,,,,1312,,,,,,-29,-3,20,-11,,
,-3596,-1,,,,,,,,,,1547,,,,,,-16,5,-3,1,,
,-3480,-14,,,,,,,,,,-747,,,,,,2,-8,2,-13,,
,-3646,-5,,,,,,,,,,-1651,,,,,,7,14,-23,9,,
,-3308,17,,,,,,,,,,-493,,,,,,-24,2,8,19,,
,-3722,-14,,,,,,,,,,1084,,,,,,-35,17,-6,-20,,
,-3592,2,,,,,,,,,,1748,,,,,,35,-26,17,-7,,
,-3769,2,,,,,,,,,,-667,,,,,,48,-5,-1,11,,
,-3394,-1,,,,,,,,,,-1714,,,,,,15,-2,-1,4,,
,-3502,1,,,,,,,,,,-483,,,,,,-22,32,3,-21,,
,-3242,-19,,,,,,,,,,1008,,,,,,-20,-6,-5,23,,
,-3745,7,,,,,,,,,,1754,,,,,,44,-15,11,12,,
,-3569,,,,,,,,,,,-498,,,,,,21,11,-5,-18,,
,-3396,-38,,,,,,,,,,-1776,,,,,,-23,-23,6,-1,,
,-3592,31,,,,,,,,,,-705,,,,,,-17,-2,-7,7,,
12,-3755,47935,,,,,,,,,,2122,,,,,,49,17,9,-8,,
,-3580,-23,,,,,,,,,,-1515,,,,,,-36,3,-11,-10,,
,-3519,-33,,,,,,,,,,-302,,,,,,-23,-3,-9,8,,
,-1676,31,,,,,,,,,,1036,,,,,,-26,5,4,1,,
,1492,-31,,,,,,,,,,1457,,,,,,3,-14,22,-2,,
,-2054,-4,,,,,,,,,,-890,,,,,,30,8,-18,5,,
,-295,7,,,,,,,,,,-1676,,,,-520,,-24,-12,-7,-4,,
,978,-7,,,,,,,,,,-318,,,,-229,,-19,17,5,28,,
,-1106,,,,,,,,,,,1200,,,,658,,-12,-5,3,-15,,
,177,-29,,,,,,,,,,1476,,,,91,,22,-1,-7,1,,
,1618,2,,,,,,,,,,-813,,,,,,40,-17,15,-14,,
,-2199,-14,,,,,,,,,,-1602,,,,-1029,,,24,-8,13,,
,1216,13,,,,,,,,,,-475,,,,-390,,-10,-3,,6,,
,92,-13,,,,,,,,,,1314,,,,766,,-42,-15,14,-5,,
,-704,-18,,,,,,,,,,1608,,,,653,,33,2,-25,-23,,
,653,19,,,,,,,,,,-1002,,,,-581,,56,26,11,25,,
,-235,-33,,,,,,,,,,-1653,,,,-1104,,-38,-22,-4,7,,
,-505,,,,,,,,,,,-254,,,,-178,,-6,7,-6,-28,,
,-448,19,,,,,,,,,,1094,,,,538,,-8,22,5,5,,
,1801,-19,,,,,,,,,,1703,,,,954,,8,-42,,-1,,
,-1269,,,,,,,,,,,-869,,,,-631,,27,13,17,8,,
,228,-18,,,,,,,,,,-1703,,,,-1161,,-13,2,-25,-5,,
,712,-14,,,,,,,,,,-411,,,,-344,,-27,28,21,-1,,
,-516,,,,,,,,,,,1410,,,,839,,-22,-24,6,10,,
,-920,18,,,,,,,,,,1661,,,,920,,37,6,-8,2,,
,268,-17,,,,,,,,,,-1045,,,,-790,,25,-4,11,-15,,
,776,-17,,,,,,,,,,-1633,,,,-1092,,-3,-13,-16,22,,
,77776,,,,,,,,,,,-140,,,,-78,,-45,3,-4,-16,,
,-3579,-9,,,,,,,,,,1545,,,,964,,-53,14,13,1,,
,-2980,-4,,,,,,,,,,1655,,,,924,,38,-3,-14,-2,,
,-3743,,,,,,,,,,,-934,,,,-671,,73,7,6,2,,
,-3156,,,,,,,,,,,-1693,,,,-1165,,-5,-15,-5,-18,,
,-3804,,,,,,,,,,,-486,,,,-430,,-10,2,-5,10,,
,-3731,-18,,,,,,,,,,1343,,,,755,,-2,-3,,7,,
,-3760,-13,,,,,,,,,,1551,,,,826,,17,27,2,7,,
,-3784,9,,,,,,,,,,-901,,,,-623,,45,-33,15,-9,,
,-3867,-10,,,,,,,,,,-1445,,,,-911,,-20,10,-21,2,,
,-3771,,,,,,,,,,,-410,,,,-370,,-30,7,6,8,,
,-3841,1,,,,,,,,,,1121,,,,530,,-35,,-3,9,,
,-3675,-31,,,,,,,,,,1687,,,,975,,22,-2,6,-5,,
,-3856,1,,,,,,,,,,-1141,,,,-859,,29,8,11,-16,,
,-3607,-1,,,,,,,,,,-1662,,,,-1128,,17,-17,-17,2,,
,-3803,1,,,,,,,,,,-167,,,,-132,,-12,-5,19,-4,,
4,-3727,15944,,,,,,,,,,-2,,,,-465,,-46,11,-20,14,,
,-3844,-13,,,,,,,,,,1532,,,,920,,-27,15,24,14,,
,-200,-4,,,,,,,,,,1722,,,,1019,,37,-16,-37,-6,,
,47,,,,,,,,,,,-1118,,,,-807,,15,22,14,-4,,
,255,-13,,,,,,,,,,-1664,,,,-1143,,-33,-37,19,-10,,
,-65,16,,,,,,,,,,-326,,,,-300,,-12,17,-18,,,
,483,-14,,,,,,,,,,1296,,,,673,,-8,,13,-9,,
,-587,-3,,,,,,,,,,1399,,,,713,,33,-19,-19,11,,
,-85,-18,,,,,,,,,,-1232,,,,-913,,5,8,10,11,,
,235,-14,,,,,,,,,,-1485,,,,-975,,-12,,3,-2,,
,784,15,,,,,,,,,,-80,,,,-60,,-18,18,-8,-20,,
,-501,-28,,,,,,,,,,1371,,,,747,,-20,2,3,17,,
,865,,,,,,,,,,,1312,,,,626,,18,-16,2,13,,
,-443,,,,,,,,,,,-1197,,,,-865,,30,25,10,-29,,
,-1066,-1,,,,,,,,,,-1656,,,,-1153,,-5,-17,-1,14,,
,501,-14,,,,,,,,,,-158,,,,-146,,-22,4,-4,-18,,
,714,16,,,,,,,,,,1681,,,,1044,,-21,-20,2,32,,
,-1005,-16,,,,,,,,,,1462,,,,792,,25,-5,9,-18,,
,250,-16,,,,,,,,,,-1285,,,,-938,,-4,32,-18,,,
,-591,-1,,,,,,,,,,-1504,,,,-1005,,20,-11,1,3,,
,128,-17,,,,,,,,,,-138,,,,-130,,-27,-13,1,5,,
,593,3,,,,,,,,,,1562,,,,913,,-36,-2,-2,-6,,
,370,,,,,,,,,,,1505,,,,844,,21,-5,19,1,,
,-231,,,,,,,,,,,-1158,,,,-800,,12,28,-27,-16,,
,-1079,-1,,,,,,,,,,-1594,,,,-1094,,-1,-4,19,9,,
,392,-29,,,,,,,,,,-23,,,,-27,,-17,6,-11,-5,,
,1072,-1,,,,,,,,,,1445,,,,790,,12,-10,1,5,,
,-534,12,,,,,,,,,,1340,,,,688,,48,2,-2,-7,,
,-169,-11,,,,,,,,,,-1258,,,,-894,,9,-17,5,12,,
,-198,-1,,,,,,,,,,-1409,,,,-916,,-12,9,20,-14,,
,-123,,,,,,,,,,,-58,,,,-68,,-16,9,-21,35,,
,311,4,,,,,,,,,,1412,,,,751,,-12,-21,-5,-22,,
,503,-35,,,,,,,,,,1455,,,,814,,1,5,-11,7,,
,-572,16,,,,,,,,,,-1327,,,,-948,,23,16,24,1,,
,-327,-33,,,,,,,,,,-1475,,,,-991,,-6,-4,-12,-8,,
,64,3,,,,,,,,,,-61,,,,-86,,-45,-19,2,-11,,
,154,14,,,,,,,,,,1323,,,,648,,-4,-4,-3,1,,
,343,-33,,,,,,,,,,1200,,,,576,,44,11,2,4,,
,-226,15,,,,,,,,,,-1320,,,,-928,,37,-2,-9,13,,
,-263,2,,,,,,,,,,-1166,,,,-686,,-6,4,4,-18,,
,648,-15,,,,,,,,,,-346,,,,-372,,-39,14,24,18,,
,-181,-16,,,,,,,,,,1466,,,,790,,-29,-21,-23,-13,,
,-110,1,,,,,,,,,,1412,,,,792,,-7,29,12,9,,
,-539,-3,,,,,,,,,,-1320,,,,-923,,49,-10,-5,4,,
,215,-13,,,,,,,,,,-1480,,,,-1004,,11,-1,-17,-17,,
,-312,-16,,,,,,,,,,-83,,,,-115,,-37,2,20,16,,
,869,-4,,,,,,,,,,1648,,,,954,,-36,-16,-6,11,,
,-205,21,,,,,,,,,,1227,,,,615,,29,37,2,-28,,
,-488,-31,,,,,,,,,,-1287,,,,-870,,62,-31,-1,18,,
,124,,,,,,,,,,,-1338,,,,-865,,-14,-16,3,-4,,
,-152,13,,,,,,,,,,-31,,,,-81,,-20,2,1,,,
,466,-18,,,,,,,,,,1477,,,,782,,-15,35,,-8,,
,359,-2,,,,,,,,,,1251,,,,656,,39,-16,,-3,,
,-743,-19,,,,,,,,,,-1531,,,,-1107,,22,7,5,11,,
,-501,24,,,,,,,,,,-1386,,,,-923,,-20,-16,,7,,
,935,-33,,,,,,,,,,-82,,,,-133,,-8,1,-7,-4,,
,-498,29,,,,,,,,,,1542,,,,843,,-32,9,-1,2,,
,278,-30,,,,,,,,,,1228,,,,638,,5,12,-6,-9,,
,203,2,,,,,,,,,,-1228,,,,-800,,-10,-15,2,-14,,
,161,-2,,,,,,,,,,-1283,,,,-827,,-10,-2,11,16,,
,-130,2,,,,,,,,,,-102,,,,-161,,-1,-2,-10,-9,,
,-547,,,,,,,,,,,1700,,,,998,,-21,4,-9,-11,,
,218,-30,,,,,,,,,,1138,,,,558,,17,-6,22,19,,
,-469,-7,,,,,,,,,,-1536,,,,-1098,,34,7,-11,-1,,
,2556,-9,,,,,,,,,,-1354,,,,-898,,-29,-5,-6,8,,
,-2292,9,,,,,,,,,,26,,,,-39,,-13,2,10,-4,,
,371,-11,,,,,,,,,,1489,,,,766,,-28,20,10,-9,,
,-370,-20,,,,,,,,,,1177,,,,614,,23,-13,-16,10,,
