App Timestamp (us),Sensor Timestamp (us),Channel1 (uV),Channel2 (uV),Channel3 (uV),Channel4 (uV),Channel5 (uV), Channel6 (uV),Channel7 (uV),Channel8 (uV),Channel9 (uV),Channel10 (uV),Channel11 (uV),Channel12 (uV),Channel13 (uV),Channel14 (uV),Channel15 (uV),Channel16 (uV),AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
6896000,2147483647,118478.3488,118117.7536,119105.168,88471.5104,118108.5472,115909.0688,116570.3616,8072.0192,116803.9936,119486.1696,43762.2752,91167.664,119105.168,119371.9744,120232.4928,-7.504,241,150,952,0,0
2000,4003,-1.7472,-0.9184,-1.5904,-2.8,-0.2464,-0.9408,-1.4112,1.3888,-1.1648,-0.56,-3.2256,-1.1872,-1.5904,-1.0752,-0.1792,0.0896,-1,-3,2,0,0
3000,3998,-1.0528,-0.5376,-0.6048,0.672,2.1056,0.4704,-2.7552,2.3968,-2.24,-2.8,1.3888,-0.6272,-0.6048,-0.5376,-0.5824,0.0672,-3,-1,-3,0,0
8000,3998,1.3216,0.6272,1.8144,1.12,1.7696,-0.112,0.1344,-0.2464,0.0896,-0.3808,2.576,-1.3216,1.8144,0.8064,-0.3136,-0.0896,3,2,4,0,0
4000,4005,1.7248,0.6496,1.4112,3.9424,-1.792,0.336,3.2032,-0.112,2.6208,3.4048,-3.1136,-1.0976,1.4112,0.1344,0.5376,0.3136,-3,-1,2,0,0
3000,4006,-0.9632,-0.4704,-1.1424,3.1808,-2.3968,-0.224,1.2992,0.6496,0.9408,1.2768,-0.8064,0.8736,-1.1424,0.0448,0.4032,-0.1792,1,1,1,0,0
2000,4002,-0.0448,0.6496,0.1568,1.1424,1.792,1.68,-0.7616,1.008,-0.6048,-1.2768,0.0448,-0.5376,0.1568,0.4928,0.56,-0.1344,1,-1,-7,0,0
5000,4004,-1.1872,-0.896,-0.7392,-6.1824,1.568,-0.4928,-2.576,0.5152,-2.1952,-2.912,1.4784,1.568,-0.7392,-0.0896,-0.2912,-0.0448,0,1,3,0,0
2000,4004,-0.4928,-1.12,-0.0224,-3.248,-0.2688,-1.5456,-0.9408,-1.3664,-1.2544,-1.344,4.8608,1.2768,-0.0224,0.1568,-0.7616,0.1792,0,-1,-1,0,0
5000,4005,-1.0528,-1.904,-1.2768,-0.1792,-3.8304,-2.7328,0.0,-2.5312,0.5376,2.24,-1.1648,0.5824,-1.2768,-1.4336,-1.6352,0.0,0,-4,-2,0,0
4000,4001,-0.896,-0.2464,-1.1424,-3.0016,-2.1728,-0.4928,1.1424,-1.7248,1.0976,1.7248,-0.896,2.1728,-1.1424,0.1792,0.784,-0.0224,6,5,1,0,0
4000,4004,0.784,1.4336,0.8288,2.7776,2.5088,3.0688,0.2016,2.4864,-0.5376,-1.2096,-0.3808,-1.0528,0.8288,0.3808,0.3584,-0.112,-4,-1,0,0,0
6000,4004,0.8512,1.0752,1.4784,2.9792,3.7856,0.8064,-1.2768,4.368,-0.784,-1.456,-3.1584,-2.464,1.4784,0.0224,0.3808,0.1792,0,-2,3,0,0
1000,4008,0.5824,-0.3136,0.8288,2.7552,-0.1344,-1.456,-0.0672,1.2544,-0.5152,-0.8736,2.0832,0.0,0.8288,-0.56,-0.5376,0.0,1,4,-2,0,0
5000,4000,1.2096,0.336,0.6048,0.5824,-2.24,0.6496,2.688,-2.7776,2.1056,2.128,2.0608,-0.0896,0.6048,0.8512,0.5376,-0.0448,0,-2,-1,0,0
