Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
5340,21772813,77039990,5.87805,11.46555,3.73245,9.2529,10.07985,10.30335,10.281,8.42595,14.86275,8.38125,10.97385,9.4764,6.1686,10.30335,7.97895,-16.91895,0,0,0,0,0
,-22,,6,8,5,5,7,11,-5,-4,-6,3,-9,17,-6,1,20,-2,,,,,
,-82,-21,3,-12,4,-11,-9,-11,1,6,-11,-9,21,-5,1,6,-18,7,,,,,
,147,-11,-14,,,-5,1,1,-13,16,-8,2,-1,-15,2,3,2,2,,,,,
,424,,5,6,-7,7,-2,4,6,1,14,8,-6,7,8,13,3,5,,,,,
,-169,12,7,-22,-10,9,-6,-18,-8,-3,4,-4,9,-4,-25,-16,-11,-7,,,,,
,182,-10,-3,5,17,-14,2,1,-3,-9,1,-4,-8,-18,-1,1,-4,1,,,,,
,100,,-3,10,-3,8,10,16,12,8,-2,23,5,18,16,9,10,5,,,,,
,-285,-2,6,-3,-6,5,-5,-9,11,-2,9,-3,14,11,13,-7,8,-4,,,,,
,-284,2,8,24,9,13,16,10,11,9,-1,-7,-5,6,2,6,9,-1,,,,,
,464,-4,-14,-18,-2,-15,-6,-14,-22,-10,-17,-24,-5,-11,-7,-9,-8,-3,,,,,
,723,13,2,-28,-8,-8,3,4,,-11,-8,-5,-5,-4,-6,10,-2,3,,,,,
,-1174,-29,8,30,15,-4,-12,2,20,6,2,9,2,-4,5,5,-3,9,,,,,
,91,8,-8,-4,-5,,,-2,-8,-4,-1,-1,-4,-3,,-14,2,-10,,,,,
,1142,12,-5,-11,-8,12,7,6,-18,6,5,7,-15,,-3,10,4,-8,,,,,
,-1137,1,7,13,-4,5,1,2,7,-10,-3,2,14,,-2,-25,-5,2,,,,,
,-177,-2,-4,-3,6,,-12,-14,15,-4,-4,-13,-4,,-7,,-1,7,,,,,
,505,-30,14,13,8,-11,8,2,-2,11,13,6,14,20,3,20,6,7,,,,,
,316,-1,-12,-4,-8,-2,-5,9,-13,-3,-5,6,-5,3,4,9,-3,-12,,,,,
,-585,13,-8,-22,-12,3,2,7,3,-19,1,-8,,-4,-1,-15,-5,-3,,,,,
,501,-3,-1,2,10,-14,5,5,,,7,5,8,5,-4,-2,-2,8,,,,,
,-601,-9,5,-1,-15,5,-25,-21,-2,,-11,-19,-17,-6,-4,-10,-10,2,,,,,
,138,11,2,3,6,9,20,4,-1,17,14,8,-3,12,3,5,4,-10,,,,,
,284,,9,12,24,7,14,4,7,17,12,13,13,17,16,17,16,15,,,,,
,-359,-12,7,7,-2,8,-3,2,7,2,-7,-5,6,-25,13,-2,9,,,,,,
