Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
3569,14694441,261991878,-3768.18765,-3764.9469,-3769.93095,-3768.7464,-3767.5395,-3763.67295,-3769.3275,-3770.95905,-3759.4488,-3763.6953,-3762.2202,-3766.48905,-3763.76235,-3761.75085,-3767.2713,-3763.8294,0,0,0,0,0
,-500,,3,-3,-5,,-2,10,-14,-1,4,-11,-4,-4,1,-8,6,-3,,,,,
,531,,8,8,-1,-13,-6,-9,3,,-13,17,14,1,1,11,13,2,,,,,
,20,,-11,-5,-4,14,1,-7,2,10,6,-4,10,12,5,6,-3,9,,,,,
,1763,,-12,,-1,2,21,4,8,-3,-5,-19,-11,-12,,2,-12,-15,,,,,
,-763,-11,3,-3,4,-8,-4,15,-1,-3,-8,6,-14,-8,-13,-4,-8,-2,,,,,
,-1220,8,4,11,4,-1,-12,-3,,-15,10,2,6,1,-1,-1,-5,-5,,,,,
,-415,-7,-1,-4,11,9,,-5,-8,14,-3,2,1,11,6,-1,10,8,,,,,
,681,-6,,5,2,4,1,11,6,9,6,4,3,8,8,2,9,3,,,,,
,-76,-15,-3,,-2,-12,-3,-13,,6,10,-1,16,-8,-2,7,1,-2,,,,,
,-605,9,1,-5,-3,-12,-3,-1,4,-16,-8,6,-9,-5,2,2,-10,11,,,,,
,235,,55510,55501,55533,55570,55546,55530,55568,55573,55445,55431,55451,55496,55418,55456,55464,55449,,,,,
,2212,-9,223141,223090,223295,223414,223220,223252,223360,223452,222878,222838,222983,223104,222854,222965,222982,223028,,,,,
,-2257,9,56066,56037,56108,56131,56070,56102,56126,56139,55988,55990,56032,56055,56000,56026,56012,56066,,,,,
,-174,-19,-5,11,-5,3,5,7,-7,-4,-8,15,12,-2,18,2,10,3,,,,,
,521,30,6,5,2,-2,-5,-3,-2,-7,-2,-2,6,7,2,-4,-6,4,,,,,
,-165,,2,-3,-1,-12,-3,1,-1,7,16,-4,-3,-10,3,-8,-3,-7,,,,,
,322,-30,-2,2,12,11,24,-5,19,4,-7,3,-4,3,-3,7,2,-5,,,,,
,-437,2,-7,17,-2,7,-8,20,2,1,,-1,-5,2,-2,-7,-3,13,,,,,
,90,18,6,-6,-6,-15,-11,-10,-12,,-1,2,12,-13,-5,-5,-12,-4,,,,,
,-397,-1,4,-16,-8,-10,4,-6,3,2,4,-16,-10,5,-2,11,2,-15,,,,,
